aa	ɑ ɑ
slunk	s l ʌ ŋ k
slur	s l ɜ ɹ
slurp	s l ɝ p
slush	s l ʌ ʃ
slushy	s l ʌ ʃ i
slut	s l ʌ t
sluts	s l ʌ t s
slutsk	s l ʊ t s k
sly	s l a ɪ
slyly	s l a ɪ l i
smack	s m æ k
small	s m ɔ l
smallcap	s m ɔ l k æ p
smaller	s m ɔ l ɚ
smallfolk	s m ɔ l f o ʊ k
smallpox	s m ɔ l p ɑ k s
smalls	s m ɔ l z
smarmy	s m ɑ ɹ m i
smartphone	s m ɑ ɹ t f o ʊ n
smatchet	s m æ t͡ʃ ɪ t
smatter	s m æ t ə ɹ
smattering	s m æ ɾ ɹ̩ ɪ ŋ
smeg	s m ɛ ɡ
smegma	s m ɛ ɡ m ə
smell	s m ɛ l
smelled	s m ɛ l d
smelling	s m ɛ l ɪ ŋ
smelly	s m ɛ l i
smelt	s m ɛ l t
smerk	s m ɜ ɹ k
smetana	s m ɛ t ə n ə
smethwick	s m ɛ ð ɪ k
smew	s m j u
smexy	s m ɛ k s i
smicker	s m ɪ k ə ɹ
smiddies	s m ɪ d i z
smiddy	s m ɪ d i
smiled	s m a ɪ l d
smiles	s m a ɪ l z
smiley	s m a ɪ l i
smiling	s m a ɪ l ɪ ŋ
smirk	s m ɝ k
smit	s m ɪ t
smite	s m a ɪ t
smith	s m ɪ θ
smithereen	s m i ð ə ɹ i n
smithers	s m ɪ ð ɚ z
smiths	s m ɪ θ s
smithson	s m ɪ θ s ə n
smitten	s m ɪ t ə n
smock	s m ɑ k
smocking	s m ɑ k ɪ ŋ
smokable	s m o k ə b l̩
smoke	s m o ʊ k
smoked	s m o ʊ k t
smokehouse	s m o ʊ k h a ʊ s
smoker	s m o ʊ k ɚ
smokes	s m o ʊ k s
smoking	s m o ʊ k ɪ ŋ
smoky	s m o ʊ k i
smollett	s m ɑ l ə t
smooch	s m u t͡ʃ
smoodge	s m u d͡ʒ
smoot	s m u t
smooth	s m u ð
smoothen	s m u ð ə n
smoothie	s m u ð i
smoothly	s m u ð l i
smorc	s m ɔ ɹ k
smore	s m ɔ ɹ
smorgasbord	s m ɔ ɹ ɡ ə s b ɔ ɹ d
smote	s m o ʊ t
smother	s m ʌ ð ɚ
smothercate	s m ʌ ð ɚ k e ɪ t
smoulder	s m o ʊ l d ə ɹ
smsa	ɛ s ɛ m ɛ s e ɪ
smudge	s m ʌ d͡ʒ
smug	s m ʌ ɡ
smuggle	s m ʌ ɡ ə l
smurf	s m ɝ f
smurfs	s m ɝ f s
smut	s m ʌ t
smuthound	s m ʌ t h a ʊ n d
snack	s n æ k
snacker	s n æ k ə ɹ
snackette	s n æ k ɛ t
snacky	s n æ k i
snaffle	s n æ f ə l
snafu	s n æ f u
snag	s n æ ɡ
snaggy	s n æ ɡ i
snake	s n e ɪ k
snaked	s n e ɪ k t
snakes	s n e ɪ k s
snaking	s n e ɪ k ɪ ŋ
snap	s n æ p
snapdragon	s n æ p d ɹ æ ɡ ə n
snapin	s n æ p ɪ n
snapless	s n æ p l ə s
snapped	s n æ p t
snares	s n e ɚ z
snark	s n ɑ ɹ k
snarktastic	s n ɑ k t æ s t ɪ k
snarky	s n ɑ r k i
snarl	s n ɑ ɹ l
snatch	s n æ t͡ʃ
snatched	s n æ t͡ʃ t
snatching	s n æ t͡ʃ ɪ ŋ
snath	s n æ θ
snaughle	s n æ f ə l
snazztastic	s n æ z t æ s t ɪ k
snazzy	s n æ z i
sneak	s n i k
sneaker	s n i k ɚ
sneakernet	s n i k ɚ n ɛ t
sneakish	s n i k ɪ ʃ
sneaky	s n i k i
sneb	s n ɛ b
sneck	s n ɛ k
snee	s n i
sneed	s n i d
sneer	s n ɪ ə̯ ɹ
sneered	s n ɪ ɹ d
sneers	s n ɪ ɹ z
sneetch	s n i t͡ʃ
sneeze	s n i z
snelly	s n ɛ l i
sneng	s n ɛ ŋ
snet	s n ɛ t
snick	s n ɪ k
snicker	s n ɪ k ɚ
snickers	s n ɪ k ə ɹ z
snicket	s n ɪ k ɪ t
snide	s n a ɪ d
snider	s n a ɪ d ɚ
sniffly	s n ɪ f l̩ i
snift	s n ɪ f t
snip	s n ɪ p
snipe	s n a ɪ p
snipelike	s n a ɪ p l a ɪ k
sniper	s n a ɪ p ɚ
snipes	s n a ɪ p s
sniping	s n a ɪ p ɪ ŋ
snipped	s n ɪ p t
snippet	s n ɪ p ɪ t
snippety	s n ɪ p ɪ t i
snipping	s n ɪ p ɪ ŋ
snips	s n ɪ p s
snithe	s n a ɪ ð
snive	s n a ɪ v
snivel	s n ɪ v ə l
snob	s n ɔ b
snodland	s n ɔ d l ə n d
snood	s n u d
snook	s n u k
snooker	s n ʊ k ə ɹ
snoop	s n u p
snooper	s n u p ə ɹ
snooze	s n u z
snort	s n ɔ ɹ t
snot	s n ɔ t
snough	s n ɔ f
snout	s n a ʊ t
snow	s n o ʊ
snowboard	s n o ʊ b ɔ ɹ d
snowboarder	s n o ʊ b ɔ ɹ d ɚ
snowclone	s n o ʊ k l o ʊ n
snowdrop	s n o ʊ d ɹ ɑ p
snowed	s n o ʊ d
snowing	s n o ʊ ɪ ŋ
snowman	s n o ʊ m æ n
snowshoe	s n o ʊ ʃ u
snowstorm	s n o ʊ s t ɔ m
snuck	s n ʌ k
snug	s n ʌ ɡ
snuggle	s n ʌ ɡ ə l
sny	s n a ɪ
so	s o ʊ
soak	s o ʊ k
soaked	s o ʊ k t
soapbox	s o ʊ p b ɔ k s
soapy	s o ʊ p i
soared	s ɔ ɹ d
soba	s o ʊ b ə
sobbing	s ɑ b ɪ ŋ
socage	s ɔ k ɪ d͡ʒ
socal	s o ʊ k æ l
soccer	s ɑ k ɚ
sociable	s o ʊ ʃ ə b ə l
socialism	s o ʊ ʃ ə l ɪ z ə m
socialite	s o ʊ ʃ ə l a ɪ t
societal	s ə s a ɪ ə t l
society	s ə s a ɪ ə t i
socioling	s o ʊ ʃ i o ʊ l ɪ ŋ
sociolinguistics	s o ʊ s i o ʊ l ɪ ŋ ɡ w ɪ s t ɪ k s
sociopath	s o ʊ s i ə p æ θ
sociopathy	s o ʊ s i ə p æ θ i
sock	s ɑ k
socket	s ɑ k ɪ t
socking	s ɑ k ɪ ŋ
socle	s o ʊ k ə l
sod	s ɔ d
soda	s o ʊ d ə
sodality	s o ʊ d æ l ɪ t i
sodden	s ɑ d ə n
sodium	s o ʊ d i ə m
sodom	s ɑ d ə m
sodomitic	s ɔ d ə m ɪ t ɪ k
sodomitically	s ɑ d ə m ɪ t ɪ k l i
sodomy	s ɔ d ə m i
soe	s o ʊ
soever	s o ʊ ɛ v ə ɹ
sofa	s o ʊ f ə
sofky	s ə f k i
soft	s ɔ f t
softly	s ɔ f t l i
softnose	s ɔ f t n o ʊ z
software	s ɔ f t w ɛ ɹ
sog	s ɔ ɡ
soggy	s ɔ ɡ i
sogs	s ɔ ɡ z
soho	s ɔ ʊ h ɔ ʊ
soil	s ɔ ɪ l
soiree	s w ɑ ɹ e ɪ
sojourn	s o ʊ d͡ʒ ɚ n
soju	s o ʊ d͡ʒ u
sokushinbutsu	s ɔ k u ʃ ɪ n b ʊ t s u
solace	s ɑ l ɪ s
solah	s o ʊ l ə
solanaceous	s ɔ l ə n e ɪ ʃ ə s
solar	s o ʊ l ɚ
solarium	s ə l ɛ ɹ i ə m
sold	s o ʊ l d
soldier	s o ʊ l d͡ʒ ɚ
soldiers	s o ʊ l d͡ʒ ɚ z
sole	s o ʊ l
soleal	s o ʊ l i ə l
solecize	s ɔ l ɪ s a ɪ z
solely	s o ʊ l l i
solemn	s ɑ l ə m
solemnity	s ə l ɛ m n ɪ t i
solemnly	s ɑ l ə m l i
solent	s o ʊ l ə n t
solicit	s ə l ɪ s ɪ t
solicitation	s ə l ɪ s ɪ t e ɪ ʃ ə n
solicited	s ə l ɪ s ɪ t ɪ d
solicitous	s ə l ɪ s ɪ t ə s
solicitude	s ə l ɪ s ɪ t j u d
solid	s ɑ l ɪ d
solidify	s ə l ɪ d ə f a ɪ
solidity	s ə l ɪ d ɪ t i
solidus	s ɔ l ɪ d ə s
soliloquy	s ə l ɪ l ə k w i
solipsism	s ɑ l ɪ p s ɪ z m
solitaire	s ɔ l ɪ t ɛ ɹ
solitary	s ɑ l ɪ t ɛ ɹ i
solitude	s ɑ l ɪ t u d
solo	s o ʊ l o ʊ
solomon	s ɑ l ə m ə n
solstitial	s ɔ l s t ɪ ʃ ə l
solute	s ɔ l j u t
solutrean	s ə l u t ɹ i ə n
soma	s o ʊ m ə
somalia	s ə m ɑ l i ə
somatostatin	s o ʊ m æ t ə s t æ t ə n
somber	s ɑ m b ɚ
someplace	s ʌ m p l e ɪ s
somerton	s ʌ m ə ɹ t ə n
something	s ʌ m θ ɪ ŋ
sometime	s ʌ m t a ɪ m
somewhat	s ʌ m w ʌ t
somite	s o ʊ m a ɪ t
somitogenesis	s o ʊ m a ɪ d ə d͡ʒ ɛ n ə s ɪ s
sommelier	s ɔ m ə l j e ɪ
somnifacient	s ɑ m n ə f e ɪ ʃ ə n t
somnolence	s ɑ m n ə l ə n s
somnolent	s ɑ m n ə l ə n t
sonata	s ə n ɑ t ə
sonder	s ɑ n d ɚ
sone	s o ʊ n
sonero	s ə n ɛ ɹ o ʊ
songbird	s ɔ ŋ b ɝ d
songbun	s ɔ ŋ b u n
songcraft	s ɔ ŋ k ɹ æ f t
sonnet	s ɔ n ɪ t
sonnets	s ɔ n ɪ t s
sonny	s ʌ n i
sonogram	s ɔ n ə ɡ ɹ æ m
sonsy	s ɔ n s i
soodle	s u d ə l
soon	s u n
sooth	s u θ
soothe	s u ð
soothed	s u ð d
soothing	s u ð ɪ ŋ
sooty	s ʊ t i
sophene	s o ʊ f i n i
sophie	s o ʊ f i
sophistry	s ɑ f ɪ s t ɹ i
sophoi	s o f ɔ ɪ
sophont	s o ʊ f ɑ n t
sophy	s o ʊ f i
sopite	s ə p a ɪ t
soppy	s ɔ p i
soprano	s ə p ɹ æ n o ʊ
soramimi	s ɔ ɹ ə m i m i
sorbet	s ɔ ɹ b e ɪ
sorbian	s ɔ ɹ b i ə n
sorbitol	s ɔ ɹ b ɪ t ɔ l
sorcerer	s ɔ ɹ s ɚ ɚ
sorcery	s ɔ ɹ s ə ɹ i
sordes	s ɔ d i z
sordid	s ɔ ɹ d ɪ d
sore	s ɔ ɹ
sorites	s ə ɹ a ɪ t i z
sororate	s ə ɹ ɔ ɹ ə t
sororize	s ɔ ɹ ə ɹ a ɪ z
sorrel	s ɔ ɹ ə l
sorrento	s ə ɹ ɛ n t o ʊ
sorrow	s ɑ ɹ o ʊ
sorrows	s ɑ ɹ o ʊ z
sorsogon	s ɔ r s ə ɡ ɔ n
sort	s ɔ ɹ t
sorta	s ɔ ɹ t ə
sortilegious	s ɔ ɹ t ɪ l i d͡ʒ ə s
sortition	s ɔ ɹ t ɪ ʃ ə n
sorts	s ɔ ɹ t s
sot	s ɔ t
sotalol	s o ʊ t ə l ɔ l
soteriology	s o ʊ t ɪ ə ɹ ɪ ɔ l ə d͡ʒ i
soul	s o ʊ l
soulfully	s o ʊ l f ə l i
soulfulness	s o ʊ l f ə l n ə s
soulish	s o ʊ l ɪ ʃ
souls	s o ʊ l z
sound	s a ʊ n d
sounded	s a ʊ n d ɪ d
sounder	s a ʊ n d ə ɹ
sounding	s a ʊ n d ɪ ŋ
soundless	s a ʊ n d l ə s
sounds	s a ʊ n d z
soundscape	s a ʊ n d s k e ɪ p
soup	s u p
sour	s a ʊ ə ɹ
sourball	s a ʊ ɚ b ɑ l
source	s ɔ ɹ s
sources	s ɔ ɹ s ɪ z
sourcing	s ɔ ɹ s ɪ ŋ
sourdough	s a ʊ ɚ d o ʊ
soursop	s a ʊ ə ɹ s ɔ p
souse	s a ʊ s
south	s a ʊ θ
southpaw	s a ʊ θ p ɔ
southside	s a ʊ θ s a ɪ d
southwark	s ʌ ð ə ɹ k
sovereign	s ɑ v ə ɹ ɪ n
sovereigns	s ɑ v ə ɹ ɪ n z
soviet	s o ʊ v i ə t
sovran	s ɔ v ɹ ə n
sowed	s o ʊ d
sowing	s o ʊ ɪ ŋ
sown	s o ʊ n
sowse	s a ʊ s
soy	s ɔ ɪ
soya	s ɔ ɪ ə
spaad	s p ɑ d
spac	s p æ k
spacefaring	s p e ɪ s f æ ɹ ɪ ŋ
spacelike	s p e ɪ s l a ɪ k
spaceman	s p e ɪ s m æ n
spacer	s p e ɪ s ə ɹ
spacescraper	s p e ɪ s s k ɹ e ɪ p ə
spacious	s p e ɪ ʃ ə s
spade	s p e ɪ d
spadea	s p e ɪ d ɪ ə
spades	s p e ɪ d z
spadix	s p e ɪ d ɪ k s
spaghetti	s p ə ɡ ɛ t i
spaghettification	s p ə ɡ ɛ t ɪ f ɪ k e ɪ ʃ ə n
spagyric	s p ə d͡ʒ ɪ ɹ ɪ k
spahi	s p ɑ h i
spain	s p e ɪ n
spald	s p ɔ l d
spall	s p ɔ l
spalt	s p ɔ l t
spam	s p æ m
spandex	s p æ n d ɛ k s
spang	s p æ ŋ
spange	s p e ɪ n d͡ʒ
spangel	s p e ɪ n d͡ʒ ə l
spanghew	s p æ ŋ h j u
spangle	s p æ ŋ ɡ ə l
spangled	s p æ ŋ ɡ ə l d
spaniard	s p æ n j ɚ d
spaniards	s p æ n j ɚ d z
spaniel	s p æ n j ə l
spanish	s p æ n ɪ ʃ
spank	s p æ ŋ k
spankee	s p æ ŋ k i
spanker	s p æ ŋ k ɚ
spankingly	s p æ ŋ k ɪ ŋ l i
spanky	s p æ ŋ k i
spanner	s p æ n ɚ
sparerib	s p ɛ ɚ ɹ ɪ b
sparfloxacin	s p ɑ ɹ f l ɑ k s ə s ɪ n
sparge	s p ɑ ɹ d͡ʒ
spark	s p ɑ ɹ k
sparkle	s p ɑ ɹ k ə l
sparse	s p ɑ ɹ s
spartacus	s p ɑ ɹ t ə k ə s
spas	s p ɑ z
spasm	s p æ z ə m
spasmodic	s p æ z m ɑ d ɪ k
spastic	s p æ s t ɪ k
spat	s p æ t
spathe	s p e ɪ ð
spatial	s p e ɪ ʃ ə l
spatialism	s p e ɪ ʃ ə l ɪ z ə m
spatulous	s p æ t j ʊ l ə s
spaulder	s p ɔ l d ə ɹ
spawl	s p ɔ l
spawn	s p ɔ n
spayed	s p e j d
spaz	s p æ z
spaza	s p ɑ z ə
speaker	s p i k ɚ
speakerphone	s p i k ɚ f o ʊ n
spean	s p i n
spear	s p ɪ ɹ
spearmint	s p ɪ ɹ m ɪ n t
spearshaft	s p ɪ ɹ ʃ æ f t
spec	s p ɛ k
special	s p ɛ ʃ ə l
specialist	s p ɛ ʃ ə l ɪ s t
specialization	s p ɛ ʃ ə l ɪ z e ɪ ʃ n̩
specialize	s p ɛ ʃ ə l a ɪ z
specially	s p ɛ ʃ ə l i
specie	s p i ʃ i
specificity	s p ɛ s ɪ f ɪ s ɪ t i
specificker	s p ɛ s ɪ f ɪ k ə
specified	s p ɛ s ɪ f a ɪ d
specifier	s p ɛ s ə f a ɪ ɚ
specify	s p ɛ s ɪ f a ɪ
specimens	s p ɛ s ɪ m ɪ n z
speckle	s p ɛ k ə l
speckled	s p ɛ k ə l d
specs	s p ɛ k s
spectacle	s p ɛ k t ə k l̩
spectacles	s p ɛ k t ə k l̩ z
spectacular	s p ɛ k t æ k j ə l ɚ
specter	s p ɛ k t ɚ
spectrogram	s p ɛ k t ɹ ə ɡ ɹ æ m
spectrograph	s p ɛ k t ɹ ə ɡ ɹ æ f
spectrum	s p ɛ k t͡ʃ ɹ ə m
speculation	s p ɛ k j ə l e ɪ ʃ ə n
speculative	s p ɛ k j u l ə t ɪ v
speech	s p i t͡ʃ
speeches	s p i t͡ʃ ɪ z
speechify	s p i t͡ʃ ɪ f a ɪ
speechless	s p i t͡ʃ l ɪ s
speedboat	s p i d b o ʊ t
speedily	s p i d ɪ l i
speediness	s p i d i n ə s
speedway	s p i d w e ɪ
speedwell	s p i d w ɛ l
speedy	s p i d i
speight	s p e ɪ t
spelk	s p ɛ l k
spell	s p ɛ l
spelled	s p ɛ l d
spelling	s p ɛ l ɪ ŋ
spelunks	s p ɪ l ʌ ŋ k s
spence	s p ɛ n s
spend	s p ɛ n d
spending	s p ɛ n d ɪ ŋ
spendthrift	s p ɛ n d θ ɹ ɪ f t
spenser	s p ɛ n s ə ɹ
spent	s p ɛ n t
sperge	s p ɜ ɹ d͡ʒ
sperm	s p ɜ ɹ m
spermidine	s p ɝ m ə d i n
spermophile	s p ɜ ɹ m ə f a ɪ l
sperse	s p ɜ ɹ s
spesh	s p ɛ ʃ
spesmilo	s p ɛ s m i l o ʊ
spetchel	s p e t͡ʃ l
spew	s p j u
sphagnum	s f æ ɡ n ə m
sphene	s f i n
sphenoid	s f i n ɔ ɪ d
sphere	s f ɪ ɹ
spherocyte	s f ɛ ɹ ə s a ɪ t
spherule	s f ɪ ɹ j u l
sphragistics	s f r a d͡ʒ ɪ s t ɪ k s
sphygmomanometer	s f ɪ ɡ m o ʊ m ə n ɑ m ɪ t ɚ
spial	s p a ɪ ə l
spic	s p ɪ k
spice	s p a ɪ s
spiced	s p a ɪ s t
spices	s p a ɪ s ɪ z
spicish	s p ɪ k ɪ ʃ
spick	s p ɪ k
spiculum	s p ɪ k j ʊ l ə m
spider	s p a ɪ̯ d ɚ
spidey	s p a ɪ d i
spiedie	s p i d i
spiffy	s p ɪ f i
spike	s p a ɪ k
spiky	s p a ɪ k i
spill	s p ɪ l
spills	s p ɪ l z
spilt	s p ɪ l t
spim	s p ɪ m
spime	s p a ɪ m
spin	s p ɪ n
spinal	s p a ɪ n ə l
spindle	s p ɪ n d ə l
spindles	s p ɪ n d ə l z
spindrift	s p ɪ n d ɹ ɪ f t
spine	s p a ɪ n
spinelessness	s p ɑ ɪ n l ə s n ə s
spinescence	s p ʌ ɪ n ɛ s ə n s
spinescent	s p a ɪ n ɛ s ə n t
spinner	s p ɪ n ɚ
spinning	s p ɪ n ɪ ŋ
spinous	s p a ɪ n ə s
spins	s p ɪ n z
spinsterishness	s p ɪ n s t ə ɹ ɪ ʃ n ə s
spintrian	s p ɪ n t ɹ ɪ ə n
spinward	s p ɪ n w ɜ ɹ d
spiracle	s p ɪ ɹ ə k ə l
spiral	s p a ɪ ɹ ə l
spirant	s p a ɪ ɹ ə n t
spirited	s p ɪ ɹ ɪ t ɪ d
spiritous	s p ɪ ɹ ɪ t ə s
spirits	s p ɪ ɹ ɪ t s
spirituality	s p ɪ ɹ ə t͡ʃ u æ l ə t ɪ
spiry	s p a ɪ ə ɹ i
spit	s p ɪ t
spite	s p a ɪ t
spitting	s p ɪ t ɪ ŋ
spittle	s p ɪ t ə l
spittoon	s p ɪ t u n
spiv	s p ɪ v
splanchnic	s p l æ ŋ k n ɪ k
splanchnology	s p l æ ŋ k n ɔ l ə d͡ʒ i
splash	s p l æ ʃ
splat	s p l æ t
splatter	s p l æ t ɚ
spleen	s p l i n
splendent	s p l ɛ n d ə n t
splendid	s p l ɛ n d ɪ d
splendiferous	s p l ɛ n d ɪ f ə ɹ ə s
splenetic	s p l ə n ɛ t ɪ k
splenitive	s p l ɛ n ɪ t ɪ v
splenium	s p l i n i ə m
spline	s p l a ɪ n
splint	s p l ɪ n t
splinter	s p l ɪ n t ɚ
split	s p l ɪ t
splooge	s p l u d͡ʒ
splunk	s p l ʌ ŋ k
splurge	s p l ɝ d͡ʒ
splutter	s p l ʌ t ɚ
spoggy	s p ɔ ɡ i
spoiler	s p ɔ ɪ l ɚ
spoileron	s p ɔ ɪ l ə r ɔ n
spoilsport	s p ɔ ɪ l s p ɔ ɹ t
spoke	s p o ʊ k
spondee	s p ɔ n d i
spondulicks	s p ɑ n d j u l ɪ k s
sponge	s p ʌ n d͡ʒ
spongy	s p ʌ n d͡ʒ i
spontaneous	s p ɑ n t e ɪ n i ə s
spontaneously	s p ɑ n t e ɪ n i ə s l i
spoofing	s p u f ɪ ŋ
spook	s p u k
spool	s p u l
spoon	s p u n
spoonerism	s p u n ə ɹ ɪ z ə m
spoons	s p u n z
spoonula	s p u n ʊ l ə
spoony	s p u n i
spore	s p ɔ ɹ
sport	s p ɔ ɹ t
sporting	s p ɔ ɹ t ɪ ŋ
sports	s p ɔ ɹ t s
sporty	s p ɔ ɹ t i
sposhy	s p ɔ ʃ i
spot	s p ɑ t
spots	s p ɑ t s
spotted	s p ɑ t ɪ̈ d
spotter	s p ɑ t ɚ
spouse	s p a ʊ s
spouty	s p a ʊ t i
sprachbund	s p ɹ ɑ k b ʊ n d
spraddle	s p ɹ a d l̩
sprag	s p r æ ɡ
sprain	s p ɹ e ɪ n
sprang	s p ɹ æ ŋ
sprat	s p ɹ æ t
sprawl	s p ɹ ɔ l
spray	s p ɹ e ɪ
sprayed	s p ɹ e ɪ d
sprays	s p ɹ e ɪ z
spread	s p ɹ ɛ d
spreadable	s p ɹ ɛ d ə b ə l
spreading	s p ɹ ɛ d ɪ ŋ
sprig	s p ɹ ɪ ɡ
sprightly	s p ɹ a ɪ t l i
spring	s p ɹ ɪ ŋ
springald	s p ɹ ɪ ŋ ə l d
springall	s p ɹ ɪ ŋ ɔ l
springbok	s p ɹ ɪ ŋ b ɑ k
springing	s p ɹ ɪ ŋ ɪ ŋ
springs	s p ɹ ɪ ŋ z
springy	s p ɹ ɪ ŋ i
sprinkle	s p ɹ ɪ ŋ k ə l
sprinkles	s p ɹ ɪ ŋ k l̩ z
sprint	s p ɹ ɪ n t
sprite	s p ɹ a ɪ t
spritely	s p ɹ a ɪ t l i
sprog	s p r ɔ ɡ
sprout	s p ɹ a ʊ t
spruce	s p ɹ u s
sprue	s p ɹ u
spruik	s p ɹ u k
sprung	s p ɹ ʌ ŋ
spry	s p ɹ a ɪ
spume	s p j u m
spumous	s p j u m ə s
spumy	s p j u m i
spun	s p ʌ n
spunky	s p ʌ ŋ k i
spur	s p ɝ
spurge	s p ɝ d͡ʒ
spuriosity	s p j ʊ ɹ i ɑ s ə t i
spurn	s p ɚ n
spurrier	s p ɝ ɹ i ɚ
sputcheon	s p ʌ t͡ʃ ə n
sputter	s p ʌ t ɚ
sql	ɛ s k j u ɛ l
squab	s k w ɑ b
squabble	s k w ɑ b l
squacco	s k w æ k o ʊ
squadoosh	s k w ɑ d u ʃ
squall	s k w ɔ l
squally	s k w ɔ l i
squalor	s k w ɑ l ɚ
squander	s k w ɑ n d ɚ
square	s k w ɛ ɚ
squarely	s k w ɛ ɹ l i
squarish	s k w ɛ ɹ ɪ ʃ
squark	s k w ɑ k
squatter	s k w ɑ t ə ɹ
squaw	s k w ɔ
squawk	s k w ɔ k
squawks	s k w ɔ k s
squdgy	s k w ʌ d͡ʒ i
squeak	s k w i k
squeaks	s k w i k s
squeaky	s k w i k i
squeal	s k w i l
squeamish	s k w i m ɪ ʃ
squeegee	s k w i d͡ʒ i
squeeze	s k w i z
squeezebox	s k w i z b ɔ k s
squelch	s k w ɛ l t͡ʃ
squelched	s k w ɛ l t͡ʃ t
squib	s k w ɪ b
squick	s k w ɪ k
squid	s k w ɪ d
squidge	s k w ɪ d͡ʒ
squidgy	s k w ɪ d͡ʒ i
squiffed	s k w ɪ f t
squiggle	s k w ɪ ɡ l̩
squiggly	s k w ɪ ɡ l i
squill	s k w ɪ l
squillitic	s k w ɪ l ɪ t ɪ k
squinch	s k w ɪ n t͡ʃ
squint	s k w ɪ n t
squir	s k w ɜ ɹ
squiralty	s k w a ɪ ɹ ə l t i
squireen	s k w a ɪ ɹ i n
squirm	s k w ɝ m
squirmish	s k w ɝ m ɪ ʃ
squirmy	s k w ɝ m i
squirrelly	s k w ɝ l i
squirt	s k w ɜ ɹ t
squish	s k w ɪ ʃ
squishiness	s k w ɪ ʃ i n ə s
squishy	s k w ɪ ʃ i
squizz	s k w ɪ z
squonk	s k w ɑ ŋ k
squoosh	s k w ʊ ʃ
squoze	s k w o ʊ z
sqush	s k w ʊ ʃ
sramana	ʃ ɹ ʌ m ə n ə
srebrenica	s ɹ e b ɹ ə n i t s ə
srinagar	s ɹ i n ɑ ɡ ə ɹ
srom	ʃ ɹ ɔ m
sssi	t ɹ ɪ p ə l ɛ s a ɪ
sstrange	s ə s t ɹ e ɪ n d͡ʒ
stab	s t æ b
stabbed	s t æ b d
stabbing	s t æ b ɪ ŋ
stabenow	s t æ b ɪ n a ʊ
stabiliment	s t ə b ɪ l ɪ m ə n t
stability	s t ə b ɪ l ɪ t i
staccato	s t ə k ɑ t o ʊ
stache	s t æ ʃ
stack	s t æ k
stacker	s t æ k ɚ
stacy	s t e ɪ s i
staddle	s t æ d ə l
stadium	s t e ɪ d i ə m
staffless	s t æ f l ə s
stafford	s t æ f ə ɹ d
stag	s t æ ɡ
stagflation	s t æ ɡ f l e ɪ ʃ ə n
stagger	s t æ ɡ ɚ
stagnant	s t æ ɡ n ə n t
stagnate	s t æ ɡ n e ɪ t
staid	s t e ɪ d
stain	s t e ɪ n
stained	s t e ɪ n d
stainer	s t e ɪ n ɚ
stair	s t ɛ ɹ
staircase	s t ɛ ɹ k e ɪ s
staired	s t ɛ ɹ d
stairs	s t ɛ ɹ z
staith	s t e ɪ θ
stakeholder	s t e ɪ k h o ʊ l d ə ɹ
stakhanovite	s t ə k ɑ n ə v a ɪ t
stalactite	s t ə l æ k t a ɪ t
stalagmite	s t ə l æ ɡ m a ɪ t
stalin	s t ɑ l ɪ n
stalingrad	s t ɑ l ɪ n ɡ r æ d
stalk	s t ɔ k
stalkily	s t ɔ k ɪ l i
stall	s t ɔ l
stalwart	s t ɔ l w ɚ t
stalworth	s t ɔ l w ɚ θ
stamina	s t æ m ə n ə
stammer	s t æ m ɚ
stamp	s t æ m p
stamped	s t æ m p t
stampede	s t æ m p i d
stamps	s t æ m p s
stan	s t æ n
stance	s t æ n s
stancel	s t æ n s ə l
stand	s t æ n d
standard	s t æ n d ə ɹ d
standards	s t æ n d ɚ d z
standee	s t æ n d i
standing	s t æ n d ɪ ŋ
stands	s t æ n d z
stane	s t e ɪ n
stanfill	s t æ n f ɪ l
stanford	s t æ n f ə ɹ d
stang	s t æ ŋ
staniel	s t æ n j ə l
stanislaus	s t æ n ɪ s l ɔ s
stank	s t æ ŋ k
stannary	s t æ n ə ɹ i
stannic	s t æ n ɪ k
stannous	s t æ n ə s
stannum	s t æ n ə m
stanza	s t æ n z ə
stap	s t æ p
stapes	s t e ɪ p i z
star	s t ɑ ɹ
starboard	s t ɑ ɹ b ɚ d
starbucks	s t ɑ ɹ b ʌ k s
starch	s t ɑ ɹ t͡ʃ
stardom	s t ɑ ɹ d ə m
stare	s t ɛ ɹ
stared	s t ɛ ɹ d
starey	s t ɛ ɹ i
starfish	s t ɑ ɹ f ɪ ʃ
stargaze	s t ɑ ɹ ɡ e ɪ z
stargazer	s t ɑ ɹ ɡ e ɪ z ɚ
staring	s t ɛ ɹ ɪ ŋ
stark	s t ɑ ɹ k
starkers	s t ɑ ɹ k ɚ z
starlight	s t ɑ ɹ l a ɪ t
starling	s t ɑ ɹ l ɪ ŋ
starry	s t ɑ ɹ i
stars	s t ɑ ɹ z
starship	s t ɑ ɹ ʃ ɪ p
start	s t ɑ ɹ t
starter	s t ɑ ɹ t ɚ
starting	s t ɑ ɹ t ɪ ŋ
startle	s t ɑ ɹ t ə l
startled	s t ɑ ɹ t l̩ d
startup	s t ɑ ɹ t ʌ p
starvation	s t ɑ ɹ v e ɪ ʃ ə n
starve	s t ɑ ɹ v
starven	s t ɑ ɹ v ə n
starving	s t ɑ ɹ v ɪ ŋ
stash	s t æ ʃ
stasik	s t æ s ɪ k
stasis	s t e ɪ s ɪ s
stat	s t æ t
statch	s t æ t͡ʃ
statelet	s t e ɪ t l ɪ t
statement	s t e ɪ t m ə n t
