ააგო	ɑ ɑ ɡ ɔ
სთხოვს	s tʰ x ɔ v s
სია	s i ɑ
სიამაყე	s i ɑ m ɑ qʼ ɛ
სიამოვნებით	s i ɑ m ɔ v n ɛ b i tʰ
სიარული	s i ɑ r u l i
სიახლე	s i ɑ x l ɛ
სიახლოვე	s i ɑ x l ɔ v ɛ
სიბინძურე	s i b i n d͡z u r ɛ
სიბნელე	s i b n ɛ l ɛ
სიბოროტე	s i b ɔ r ɔ tʼ ɛ
სიბრაზე	s i b r ɑ z ɛ
სიბრძნე	s i b r d͡z n ɛ
სიგამხდრე	s i ɡ ɑ m x d r ɛ
სიგანე	s i ɡ ɑ n ɛ
სიგანით	s i ɡ ɑ n i tʰ
სიგარა	s i ɡ ɑ r ɑ
სიგარეტი	s i ɡ ɑ r ɛ tʼ i
სიგნალი	s i ɡ n ɑ l i
სიგრილე	s i ɡ r i l ɛ
სიგრძე	s i ɡ r d͡z ɛ
სიდამპლე	s i d ɑ m pʼ l ɛ
სიდიადე	s i d i ɑ d ɛ
სიდიდე	s i d i d ɛ
სივრცე	s i v r t͡s ɛ
სივრცული	s i v r t͡s u l i
სიზარმაცე	s i z ɑ r m ɑ t͡s ɛ
სიზმარი	s i z m ɑ r i
სიზუსტე	s i z u s tʼ ɛ
სითბო	s i tʰ b ɔ
სითბური	s i tʰ b u r i
სითხე	s i tʰ x ɛ
სიკარგე	s i kʼ ɑ r ɡ ɛ
სიკეთე	s i kʼ ɛ tʰ ɛ
სიკვდილი	s i kʼ v d i l i
სიკვდილით	s i kʼ v d i l i tʰ
სიკვდილმა	s i kʼ v d i l m ɑ
სიკვდილს	s i kʼ v d i l s
სიკომორო	s i kʼ ɔ m ɔ r ɔ
სილა	s i l ɑ
სილამაზე	s i l ɑ m ɑ z ɛ
სილიციუმი	s i l i t͡s i u m i
სიმამრი	s i m ɑ m r i
სიმარდე	s i m ɑ r d ɛ
სიმართლე	s i m ɑ r tʰ l ɛ
სიმაღლე	s i m ɑ ɣ l ɛ
სიმახინჯე	s i m ɑ x i n d͡ʒ ɛ
სიმბოლიზმი	s i m b ɔ l i z m i
სიმბოლო	s i m b ɔ l ɔ
სიმბოლურად	s i m b ɔ l u r ɑ d
სიმბოლური	s i m b ɔ l u r i
სიმდაბლე	s i m d ɑ b l ɛ
სიმდიდრე	s i m d i d r ɛ
სიმინდი	s i m i n d i
სიმკაცრე	s i m kʼ ɑ t͡s r ɛ
სიმკვირცხლე	s i m kʼ v i r t͡s x l ɛ
სიმონია	s i m ɔ n i ɑ
სიმპათია	s i m pʼ ɑ tʰ i ɑ
სიმპათიური	s i m pʼ ɑ tʰ i u r i
სიმრავლე	s i m r ɑ v l ɛ
სიმსივნე	s i m s i v n ɛ
სიმსუქნე	s i m s u kʰ n ɛ
სიმულაცია	s i m u l ɑ t͡s i ɑ
სიმფონია	s i m pʰ ɔ n i ɑ
სიმფონიური	s i m pʰ ɔ n i u r i
სიმყარე	s i m qʼ ɑ r ɛ
სიმშვიდე	s i m ʃ v i d ɛ
სიმცირე	s i m t͡s i r ɛ
სიმძიმე	s i m d͡z i m ɛ
სიმწვავე	s i m t͡sʼ v ɑ v ɛ
სიმწიფე	s i m t͡sʼ i pʰ ɛ
სიმჭიდროვე	s i m t͡ʃʼ i d r ɔ v ɛ
სიმხურვალე	s i m x u r v ɑ l ɛ
სინაზე	s i n ɑ z ɛ
სინათლე	s i n ɑ tʰ l ɛ
სინამდვილე	s i n ɑ m d v i l ɛ
სინამდვილეში	s i n ɑ m d v i l ɛ ʃ i
სინანული	s i n ɑ n u l i
სინანულით	s i n ɑ n u l i tʰ
სინგაპური	s i n ɡ ɑ pʼ u r i
სინდიკატი	s i n d i kʼ ɑ tʼ i
სინდისი	s i n d i s i
სინდისიერი	s i n d i s i ɛ r i
სინდრომი	s i n d r ɔ m i
სინოდი	s i n ɔ d i
სინონიმი	s i n ɔ n i m i
სინოპტიკური	s i n ɔ pʼ tʼ i kʼ u r i
სინორი	s i n ɔ r i
სინტაქსური	s i n tʼ ɑ kʰ s u r i
სინქრონულად	s i n kʰ r ɔ n u l ɑ d
სინქრონული	s i n kʰ r ɔ n u l i
სიონისტი	s i ɔ n i s tʼ i
სირაძე	s i r ɑ d͡z ɛ
სირბილე	s i r b i l ɛ
სირი	s i r i
სირია	s i r i ɑ
სიროფი	s i r ɔ pʰ i
სირცხვილი	s i r t͡s x v i l i
სისადავე	s i s ɑ d ɑ v ɛ
სისასტიკე	s i s ɑ s tʼ i kʼ ɛ
სისაძაგლე	s i s ɑ d͡z ɑ ɡ l ɛ
სისინა	s i s i n ɑ
სისრულე	s i s r u l ɛ
სისტემა	s i s tʼ ɛ m ɑ
სისტემამ	s i s tʼ ɛ m ɑ m
სისტემას	s i s tʼ ɛ m ɑ s
სისტემატურად	s i s tʼ ɛ m ɑ tʼ u r ɑ d
სისტემატური	s i s tʼ ɛ m ɑ tʼ u r i
სისტემით	s i s tʼ ɛ m i tʰ
სისტემის	s i s tʼ ɛ m i s
სისულელე	s i s u l ɛ l ɛ
სისუსტე	s i s u s tʼ ɛ
სისუფთავე	s i s u pʰ tʰ ɑ v ɛ
სისქე	s i s kʰ ɛ
სისწორე	s i s t͡sʼ ɔ r ɛ
სისწრაფე	s i s t͡sʼ r ɑ pʰ ɛ
სისხლიანი	s i s x l i ɑ n i
სისხლისღვრა	s i s x l i s ɣ v r ɑ
სისხლსავსე	s i s x l s ɑ v s ɛ
სიტკბო	s i tʼ kʼ b ɔ
სიტუაცია	s i tʼ u ɑ t͡s i ɑ
სიტყვაზე	s i tʼ qʼ v ɑ z ɛ
სიტყვაძუნწი	s i tʼ qʼ v ɑ d͡z u n t͡sʼ i
სიტყვიერი	s i tʼ qʼ v i ɛ r i
სიუჟეტი	s i u ʒ ɛ tʼ i
სიუხვე	s i u x v ɛ
სიფაქიზე	s i pʰ ɑ kʰ i z ɛ
სიფიცხე	s i pʰ i t͡s x ɛ
სიფრიფანა	s i pʰ r i pʰ ɑ n ɑ
სიღარიბე	s i ɣ ɑ r i b ɛ
სიღატაკე	s i ɣ ɑ tʼ ɑ kʼ ɛ
სიღნაღი	s i ɣ n ɑ ɣ i
სიღრმე	s i ɣ r m ɛ
სიყალბე	s i qʼ ɑ l b ɛ
სიყვარულით	s i qʼ v ɑ r u l i tʰ
სიშიშვლე	s i ʃ i ʃ v l ɛ
სიშორე	s i ʃ ɔ r ɛ
სიჩუმე	s i t͡ʃ u m ɛ
სიცარიელე	s i t͡s ɑ r i ɛ l ɛ
სიცივე	s i t͡s i v ɛ
სიცილი	s i t͡s i l i
სიცილით	s i t͡s i l i tʰ
სიცოცხლე	s i t͡s ɔ t͡s x l ɛ
სიცხადე	s i t͡s x ɑ d ɛ
სიძე	s i d͡z ɛ
სიძნელე	s i d͡z n ɛ l ɛ
სიძულვილი	s i d͡z u l v i l i
სიწმინდე	s i t͡sʼ m i n d ɛ
სიწყნარე	s i t͡sʼ qʼ n ɑ r ɛ
სიჭარბე	s i t͡ʃʼ ɑ r b ɛ
სიხარბე	s i x ɑ r b ɛ
სიხარული	s i x ɑ r u l i
სიხისტე	s i x i s tʼ ɛ
სიხშირე	s i x ʃ i r ɛ
სიჯანსაღე	s i d͡ʒ ɑ n s ɑ ɣ ɛ
სიჯიუტე	s i d͡ʒ i u tʼ ɛ
სკა	s kʼ ɑ
სკამი	s kʼ ɑ m i
სკანდალი	s kʼ ɑ n d ɑ l i
სკანდალურად	s kʼ ɑ n d ɑ l u r ɑ d
სკანერი	s kʼ ɑ n ɛ r i
სკეპტიკოსი	s kʼ ɛ pʼ tʼ i kʼ ɔ s i
სკეპტიკური	s kʼ ɛ pʼ tʼ i kʼ u r i
სკეპტიციზმი	s kʼ ɛ pʼ tʼ i t͡s i z m i
სკოლა	s kʼ ɔ l ɑ
სკოლამ	s kʼ ɔ l ɑ m
სკოლას	s kʼ ɔ l ɑ s
სკოლით	s kʼ ɔ l i tʰ
სკოლის	s kʼ ɔ l i s
სკულპტურა	s kʼ u l pʼ tʼ u r ɑ
სკულპტურული	s kʼ u l pʼ tʼ u r u l i
სკუმბრია	s kʼ u m b r i ɑ
სლავური	s l ɑ v u r i
სლალომი	s l ɑ l ɔ m i
სლოვაკეთი	s l ɔ v ɑ kʼ ɛ tʰ i
სლოვენია	s l ɔ v ɛ n i ɑ
სლოკინი	s l ɔ kʼ i n i
სმ	s m
სმა	s m ɑ
სმენა	s m ɛ n ɑ
სმური	s m u r i
სნობიზმი	s n ɔ b i z m i
სოკო	s ɔ kʼ ɔ
სოლიდარობა	s ɔ l i d ɑ r ɔ b ɑ
სოლიდური	s ɔ l i d u r i
სოლისტი	s ɔ l i s tʼ i
სოლიტერი	s ɔ l i tʼ ɛ r i
სომალი	s ɔ m ɑ l i
სომეხი	s ɔ m ɛ x i
სომხეთი	s ɔ m x ɛ tʰ i
სომხეთმა	s ɔ m x ɛ tʰ m ɑ
სომხეთს	s ɔ m x ɛ tʰ s
სომხური	s ɔ m x u r i
სონატა	s ɔ n ɑ tʼ ɑ
სონია	s ɔ n i ɑ
სოპრანო	s ɔ pʼ r ɑ n ɔ
სოსისი	s ɔ s i s i
სოუსი	s ɔ u s i
სოფელი	s ɔ pʰ ɛ l i
სოფელმა	s ɔ pʰ ɛ l m ɑ
სოფელს	s ɔ pʰ ɛ l s
სოფლად	s ɔ pʰ l ɑ d
სოფლები	s ɔ pʰ l ɛ b i
სოფლელი	s ɔ pʰ l ɛ l i
სოფლით	s ɔ pʰ l i tʰ
სოფლის	s ɔ pʰ l i s
სოციალისტი	s ɔ t͡s i ɑ l i s tʼ i
სოციალისტური	s ɔ t͡s i ɑ l i s tʼ u r i
სოციალურად	s ɔ t͡s i ɑ l u r ɑ d
სოციალური	s ɔ t͡s i ɑ l u r i
სოციოლოგი	s ɔ t͡s i ɔ l ɔ ɡ i
სოციოლოგია	s ɔ t͡s i ɔ l ɔ ɡ i ɑ
სოციოლოგიურად	s ɔ t͡s i ɔ l ɔ ɡ i u r ɑ d
სოციოლოგიური	s ɔ t͡s i ɔ l ɔ ɡ i u r i
სოჭი	s ɔ t͡ʃʼ i
სოხუმი	s ɔ x u m i
სპა	s pʼ ɑ
სპარსეთი	s pʼ ɑ r s ɛ tʰ i
სპარსული	s pʼ ɑ r s u l i
სპეკულაცია	s pʼ ɛ kʼ u l ɑ t͡s i ɑ
სპერმა	s pʼ ɛ r m ɑ
სპექტრალური	s pʼ ɛ kʰ tʼ r ɑ l u r i
სპეციალობა	s pʼ ɛ t͡s i ɑ l ɔ b ɑ
სპეციალურად	s pʼ ɛ t͡s i ɑ l u r ɑ d
სპეციალური	s pʼ ɛ t͡s i ɑ l u r i
სპეციფიკური	s pʼ ɛ t͡s i pʰ i kʼ u r i
სპილო	s pʼ i l ɔ
სპირალი	s pʼ i r ɑ l i
სპირალური	s pʼ i r ɑ l u r i
სპირტი	s pʼ i r tʼ i
სპონსორი	s pʼ ɔ n s ɔ r i
სპონსორობა	s pʼ ɔ n s ɔ r ɔ b ɑ
სპონტანურად	s pʼ ɔ n tʼ ɑ n u r ɑ d
სპონტანური	s pʼ ɔ n tʼ ɑ n u r i
სპორტი	s pʼ ɔ r tʼ i
სპორტსმენი	s pʼ ɔ r tʼ s m ɛ n i
სპორტული	s pʼ ɔ r tʼ u l i
სპრინტერი	s pʼ r i n tʼ ɛ r i
სრიალა	s r i ɑ l ɑ
სროლა	s r ɔ l ɑ
სრულდება	s r u l d ɛ b ɑ
სრული	s r u l i
სრულიად	s r u l i ɑ d
სრულყოფილი	s r u l qʼ ɔ pʰ i l i
სრუტე	s r u tʼ ɛ
სსრ	s s r
სტაბილიზაცია	s tʼ ɑ b i l i z ɑ t͡s i ɑ
სტაბილურად	s tʼ ɑ b i l u r ɑ d
სტაბილურობა	s tʼ ɑ b i l u r ɔ b ɑ
სტადიონი	s tʼ ɑ d i ɔ n i
სტალინი	s tʼ ɑ l i n i
სტამბა	s tʼ ɑ m b ɑ
სტანდარტული	s tʼ ɑ n d ɑ r tʼ u l i
სტაჟიორი	s tʼ ɑ ʒ i ɔ r i
სტატია	s tʼ ɑ tʼ i ɑ
სტატიამ	s tʼ ɑ tʼ i ɑ m
სტატიას	s tʼ ɑ tʼ i ɑ s
სტატიები	s tʼ ɑ tʼ i ɛ b i
სტატიის	s tʼ ɑ tʼ i i s
სტატიკურად	s tʼ ɑ tʼ i kʼ u r ɑ d
სტატიკური	s tʼ ɑ tʼ i kʼ u r i
სტატისტი	s tʼ ɑ tʼ i s tʼ i
სტატისტიკოსი	s tʼ ɑ tʼ i s tʼ i kʼ ɔ s i
სტატისტიკურად	s tʼ ɑ tʼ i s tʼ i kʼ u r ɑ d
სტატისტიკური	s tʼ ɑ tʼ i s tʼ i kʼ u r i
სტატუტი	s tʼ ɑ tʼ u tʼ i
სტაფილო	s tʼ ɑ pʰ i l ɔ
სტაციონარული	s tʼ ɑ t͡s i ɔ n ɑ r u l i
სტელა	s tʼ ɛ l ɑ
სტენლი	s tʼ ɛ n l i
სტერეოტიპი	s tʼ ɛ r ɛ ɔ tʼ i pʼ i
სტერილიზაცია	s tʼ ɛ r i l i z ɑ t͡s i ɑ
სტერილური	s tʼ ɛ r i l u r i
სტერლინგი	s tʼ ɛ r l i n ɡ i
სტეფანე	s tʼ ɛ pʰ ɑ n ɛ
სტეფანი	s tʼ ɛ pʰ ɑ n i
სტივენი	s tʼ i v ɛ n i
სტილისტი	s tʼ i l i s tʼ i
სტილისტურად	s tʼ i l i s tʼ u r ɑ d
სტიმული	s tʼ i m u l i
სტიპენდია	s tʼ i pʼ ɛ n d i ɑ
სტიქიური	s tʼ i kʰ i u r i
სტომატოლოგი	s tʼ ɔ m ɑ tʼ ɔ l ɔ ɡ i
სტრატეგი	s tʼ r ɑ tʼ ɛ ɡ i
სტრატეგიული	s tʼ r ɑ tʼ ɛ ɡ i u l i
სტრიპტიზი	s tʼ r i pʼ tʼ i z i
სტროფი	s tʼ r ɔ pʰ i
სტრუქტურა	s tʼ r u kʰ tʼ u r ɑ
სტრუქტურულად	s tʼ r u kʰ tʼ u r u l ɑ d
სტრუქტურული	s tʼ r u kʰ tʼ u r u l i
სტუდია	s tʼ u d i ɑ
სტუმრობა	s tʼ u m r ɔ b ɑ
სუ	s u
სუბიექტურად	s u b i ɛ kʰ tʼ u r ɑ d
სუბიექტური	s u b i ɛ kʰ tʼ u r i
სუბორდინაცია	s u b ɔ r d i n ɑ t͡s i ɑ
სუბსიდია	s u b s i d i ɑ
სუდანი	s u d ɑ n i
სუვენირი	s u v ɛ n i r i
სულ	s u l
სულგრძელი	s u l ɡ r d͡z ɛ l i
სულგუნი	s u l ɡ u n i
სულელი	s u l ɛ l i
სულელურად	s u l ɛ l u r ɑ d
სულთანი	s u l tʰ ɑ n i
სული	s u l i
სულიერად	s u l i ɛ r ɑ d
სულმოკლე	s u l m ɔ kʼ l ɛ
სულმოკლეობა	s u l m ɔ kʼ l ɛ ɔ b ɑ
სუნამო	s u n ɑ m ɔ
სუნელი	s u n ɛ l i
სუნთქავს	s u n tʰ kʰ ɑ v s
სუპერმარკეტი	s u pʼ ɛ r m ɑ r kʼ ɛ tʼ i
სუპერმენი	s u pʼ ɛ r m ɛ n i
სურა	s u r ɑ
სურათი	s u r ɑ tʰ i
სურამი	s u r ɑ m i
სურვილი	s u r v i l i
სურვილისამებრ	s u r v i l i s ɑ m ɛ b r
სურნელი	s u r n ɛ l i
სურნელოვანი	s u r n ɛ l ɔ v ɑ n i
სურს	s u r s
სურსათი	s u r s ɑ tʰ i
სუსტად	s u s tʼ ɑ d
სუფთა	s u pʰ tʰ ɑ
სუფრა	s u pʰ r ɑ
სქელი	s kʰ ɛ l i
სქემა	s kʰ ɛ m ɑ
სქემატური	s kʰ ɛ m ɑ tʼ u r i
სქოლასტიკა	s kʰ ɔ l ɑ s tʼ i kʼ ɑ
სქოლასტიკური	s kʰ ɔ l ɑ s tʼ i kʼ u r i
სცენარი	s t͡s ɛ n ɑ r i
სცენარისტი	s t͡s ɛ n ɑ r i s tʼ i
სცენური	s t͡s ɛ n u r i
სცილდება	s t͡s i l d ɛ b ɑ
სძულს	s d͡z u l s
სწავლა	s t͡sʼ ɑ v l ɑ
სწავლება	s t͡sʼ ɑ v l ɛ b ɑ
სწავლობს	s t͡sʼ ɑ v l ɔ b s
სწერს	s t͡sʼ ɛ r s
სწორად	s t͡sʼ ɔ r ɑ d
სწორედ	s t͡sʼ ɔ r ɛ d
სწორი	s t͡sʼ ɔ r i
სწორკუთხა	s t͡sʼ ɔ r kʼ u tʰ x ɑ
სწორხაზოვანი	s t͡sʼ ɔ r x ɑ z ɔ v ɑ n i
სწრაფი	s t͡sʼ r ɑ pʰ i
სწყურია	s t͡sʼ qʼ u r i ɑ
სჭირდება	s t͡ʃʼ i r d ɛ b ɑ
სხალტბა	s x ɑ l tʼ b ɑ
სხდომა	s x d ɔ m ɑ
სხეული	s x ɛ u l i
სხვა	s x v ɑ
სხვაგვარად	s x v ɑ ɡ v ɑ r ɑ d
სხვადასხვა	s x v ɑ d ɑ s x v ɑ
სხვადასხვაგვარად	s x v ɑ d ɑ s x v ɑ ɡ v ɑ r ɑ d
სხვანაირად	s x v ɑ n ɑ i r ɑ d
სხვანაირი	s x v ɑ n ɑ i r i
სხივური	s x i v u r i
სჯა	s d͡ʒ ɑ
ტაბლეტი	tʼ ɑ b l ɛ tʼ i
ტაბლო	tʼ ɑ b l ɔ
ტაბუ	tʼ ɑ b u
ტავტოლოგიური	tʼ ɑ v tʼ ɔ l ɔ ɡ i u r i
ტაივანი	tʼ ɑ i v ɑ n i
ტაილანდი	tʼ ɑ i l ɑ n d i
ტალანტი	tʼ ɑ l ɑ n tʼ i
ტალახი	tʼ ɑ l ɑ x i
ტალახიანი	tʼ ɑ l ɑ x i ɑ n i
ტალღოვანი	tʼ ɑ l ɣ ɔ v ɑ n i
ტანგო	tʼ ɑ n ɡ ɔ
ტანვარჯიში	tʼ ɑ n v ɑ r d͡ʒ i ʃ i
ტანზანია	tʼ ɑ n z ɑ n i ɑ
ტანი	tʼ ɑ n i
ტანინი	tʼ ɑ n i n i
ტანკერი	tʼ ɑ n kʼ ɛ r i
ტანმოვარჯიშე	tʼ ɑ n m ɔ v ɑ r d͡ʒ i ʃ ɛ
ტარა	tʼ ɑ r ɑ
ტარანტული	tʼ ɑ r ɑ n tʼ u l i
ტარება	tʼ ɑ r ɛ b ɑ
ტარიფი	tʼ ɑ r i pʰ i
ტაფა	tʼ ɑ pʰ ɑ
ტაქტი	tʼ ɑ kʰ tʼ i
ტაქტიკა	tʼ ɑ kʰ tʼ i kʼ ɑ
ტაქტიკურად	tʼ ɑ kʰ tʼ i kʼ u r ɑ d
ტაქტიკური	tʼ ɑ kʰ tʼ i kʼ u r i
ტაში	tʼ ɑ ʃ i
ტაძარი	tʼ ɑ d͡z ɑ r i
ტაძარმა	tʼ ɑ d͡z ɑ r m ɑ
ტაძარს	tʼ ɑ d͡z ɑ r s
ტაძრად	tʼ ɑ d͡z r ɑ d
ტაძრით	tʼ ɑ d͡z r i tʰ
ტაძრის	tʼ ɑ d͡z r i s
ტახტი	tʼ ɑ x tʼ i
ტაჯიკეთი	tʼ ɑ d͡ʒ i kʼ ɛ tʰ i
ტევადი	tʼ ɛ v ɑ d i
ტევადობა	tʼ ɛ v ɑ d ɔ b ɑ
ტელეგრამა	tʼ ɛ l ɛ ɡ r ɑ m ɑ
ტელესკოპი	tʼ ɛ l ɛ s kʼ ɔ pʼ i
ტელესკოპური	tʼ ɛ l ɛ s kʼ ɔ pʼ u r i
ტელეფონი	tʼ ɛ l ɛ pʰ ɔ n i
ტელეწამყვანი	tʼ ɛ l ɛ t͡sʼ ɑ m qʼ v ɑ n i
ტემბრი	tʼ ɛ m b r i
ტემპერამენტი	tʼ ɛ m pʼ ɛ r ɑ m ɛ n tʼ i
ტენდენციური	tʼ ɛ n d ɛ n t͡s i u r i
ტენორი	tʼ ɛ n ɔ r i
ტერასა	tʼ ɛ r ɑ s ɑ
ტერეზა	tʼ ɛ r ɛ z ɑ
ტერი	tʼ ɛ r i
ტერიტორია	tʼ ɛ r i tʼ ɔ r i ɑ
ტერიტორიული	tʼ ɛ r i tʼ ɔ r i u l i
ტერმინი	tʼ ɛ r m i n i
ტერმინოლოგია	tʼ ɛ r m i n ɔ l ɔ ɡ i ɑ
ტერორი	tʼ ɛ r ɔ r i
ტერორისტი	tʼ ɛ r ɔ r i s tʼ i
ტეტანუსი	tʼ ɛ tʼ ɑ n u s i
ტექნიკა	tʼ ɛ kʰ n i kʼ ɑ
ტექნიკური	tʼ ɛ kʰ n i kʼ u r i
ტექნოლოგი	tʼ ɛ kʰ n ɔ l ɔ ɡ i
ტექნოლოგია	tʼ ɛ kʰ n ɔ l ɔ ɡ i ɑ
ტექსტი	tʼ ɛ kʰ s tʼ i
ტეხა	tʼ ɛ x ɑ
ტეხს	tʼ ɛ x s
ტვინები	tʼ v i n ɛ b i
ტვინების	tʼ v i n ɛ b i s
ტვინებმა	tʼ v i n ɛ b m ɑ
ტვინებო	tʼ v i n ɛ b ɔ
ტვინი	tʼ v i n i
ტვინის	tʼ v i n i s
ტვინმა	tʼ v i n m ɑ
ტვინო	tʼ v i n ɔ
ტვინს	tʼ v i n s
ტვირთი	tʼ v i r tʰ i
ტიბეტური	tʼ i b ɛ tʼ u r i
ტივი	tʼ i v i
ტილი	tʼ i l i
ტილიანი	tʼ i l i ɑ n i
ტილო	tʼ i l ɔ
ტიპის	tʼ i pʼ i s
ტიპმა	tʼ i pʼ m ɑ
ტიპოგრაფიულად	tʼ i pʼ ɔ ɡ r ɑ pʰ i u l ɑ d
ტიპს	tʼ i pʼ s
ტიპური	tʼ i pʼ u r i
ტირაჟი	tʼ i r ɑ ʒ i
ტირილი	tʼ i r i l i
ტირის	tʼ i r i s
ტიტა	tʼ i tʼ ɑ
ტიტანი	tʼ i tʼ ɑ n i
ტიტული	tʼ i tʼ u l i
ტიხარი	tʼ i x ɑ r i
ტკბილად	tʼ kʼ b i l ɑ d
ტკბილი	tʼ kʼ b i l i
ტკენს	tʼ kʼ ɛ n s
ტკივილის	tʼ kʼ i v i l i s
ტკივილმა	tʼ kʼ i v i l m ɑ
ტკივილს	tʼ kʼ i v i l s
ტლიკინი	tʼ l i kʼ i n i
ტობი	tʼ ɔ b i
ტოგა	tʼ ɔ ɡ ɑ
ტოგო	tʼ ɔ ɡ ɔ
ტოკიო	tʼ ɔ kʼ i ɔ
ტოლი	tʼ ɔ l i
ტოლმა	tʼ ɔ l m ɑ
ტოლობა	tʼ ɔ l ɔ b ɑ
ტოლუმბაში	tʼ ɔ l u m b ɑ ʃ i
ტოლფასი	tʼ ɔ l pʰ ɑ s i
ტომი	tʼ ɔ m i
ტონა	tʼ ɔ n ɑ
ტონალობა	tʼ ɔ n ɑ l ɔ b ɑ
ტონი	tʼ ɔ n i
ტოპაზი	tʼ ɔ pʼ ɑ z i
ტოპოგრაფია	tʼ ɔ pʼ ɔ ɡ r ɑ pʰ i ɑ
ტორი	tʼ ɔ r i
ტორტი	tʼ ɔ r tʼ i
ტორფნარი	tʼ ɔ r pʰ n ɑ r i
ტოტემი	tʼ ɔ tʼ ɛ m i
ტოტი	tʼ ɔ tʼ i
ტოქსიკური	tʼ ɔ kʰ s i kʼ u r i
ტრაბახი	tʼ r ɑ b ɑ x i
ტრაგედია	tʼ r ɑ ɡ ɛ d i ɑ
ტრაგიკომედია	tʼ r ɑ ɡ i kʼ ɔ m ɛ d i ɑ
ტრაგიკული	tʼ r ɑ ɡ i kʼ u l i
ტრადიციულად	tʼ r ɑ d i t͡s i u l ɑ d
ტრადიციული	tʼ r ɑ d i t͡s i u l i
ტრაექტორია	tʼ r ɑ ɛ kʰ tʼ ɔ r i ɑ
ტრავმა	tʼ r ɑ v m ɑ
ტრავმატული	tʼ r ɑ v m ɑ tʼ u l i
ტრაკი	tʼ r ɑ kʼ i
ტრამვა	tʼ r ɑ m v ɑ
ტრამვაი	tʼ r ɑ m v ɑ i
ტრანზიტი	tʼ r ɑ n z i tʼ i
ტრანსკრიფცია	tʼ r ɑ n s kʼ r i pʰ t͡s i ɑ
ტრანსლაცია	tʼ r ɑ n s l ɑ t͡s i ɑ
ტრანსპარანტი	tʼ r ɑ n s pʼ ɑ r ɑ n tʼ i
ტრაფარეტი	tʼ r ɑ pʰ ɑ r ɛ tʼ i
ტრაქტი	tʼ r ɑ kʰ tʼ i
ტრაქტორი	tʼ r ɑ kʰ tʼ ɔ r i
ტრიბუნა	tʼ r i b u n ɑ
ტრიბუნალი	tʼ r i b u n ɑ l i
ტრიკოტაჟი	tʼ r i kʼ ɔ tʼ ɑ ʒ i
ტრიუმფალური	tʼ r i u m pʰ ɑ l u r i
ტრიუმფი	tʼ r i u m pʰ i
ტროპი	tʼ r ɔ pʼ i
ტროპიკული	tʼ r ɔ pʼ i kʼ u l i
ტროტუარი	tʼ r ɔ tʼ u ɑ r i
ტრუიზმი	tʼ r u i z m i
ტრუსიკი	tʼ r u s i kʼ i
ტუბერკულოზი	tʼ u b ɛ r kʼ u l ɔ z i
ტუვალუ	tʼ u v ɑ l u
ტუზი	tʼ u z i
ტუმბო	tʼ u m b ɔ
ტუნისი	tʼ u n i s i
ტურაშვილი	tʼ u r ɑ ʃ v i l i
ტურბინა	tʼ u r b i n ɑ
ტურბულენტობა	tʼ u r b u l ɛ n tʼ ɔ b ɑ
ტურბულენტური	tʼ u r b u l ɛ n tʼ u r i
ტურისტული	tʼ u r i s tʼ u l i
ტურნე	tʼ u r n ɛ
ტურნირი	tʼ u r n i r i
ტუჩები	tʼ u t͡ʃ ɛ b i
ტუჩებით	tʼ u t͡ʃ ɛ b i tʰ
ტუჩების	tʼ u t͡ʃ ɛ b i s
ტუჩებს	tʼ u t͡ʃ ɛ b s
ტუჩთა	tʼ u t͡ʃ tʰ ɑ
ტუჩი	tʼ u t͡ʃ i
ტუჩის	tʼ u t͡ʃ i s
ტუჩს	tʼ u t͡ʃ s
ტფილისი	tʼ pʰ i l i s i
ტყავი	tʼ qʼ ɑ v i
ტყემალი	tʼ qʼ ɛ m ɑ l i
ტყვეობა	tʼ qʼ v ɛ ɔ b ɑ
ტყვია	tʼ qʼ v i ɑ
ტყვიამფრქვევი	tʼ qʼ v i ɑ m pʰ r kʰ v ɛ v i
ტყნაური	tʼ qʼ n ɑ u r i
ტყუილად	tʼ qʼ u i l ɑ d
ტყუილი	tʼ qʼ u i l i
ტყუპი	tʼ qʼ u pʼ i
უადგილო	u ɑ d ɡ i l ɔ
უადგილოდ	u ɑ d ɡ i l ɔ d
უაზრობა	u ɑ z r ɔ b ɑ
უაზროდ	u ɑ z r ɔ d
უამრავი	u ɑ m r ɑ v i
უანგარო	u ɑ n ɡ ɑ r ɔ
უანგაროდ	u ɑ n ɡ ɑ r ɔ d
უაპელაციოდ	u ɑ pʼ ɛ l ɑ t͡s i ɔ d
უარესი	u ɑ r ɛ s i
უარი	u ɑ r i
უარყოფა	u ɑ r qʼ ɔ pʰ ɑ
უარყოფითად	u ɑ r qʼ ɔ pʰ i tʰ ɑ d
უახლოესი	u ɑ x l ɔ ɛ s i
უბადლო	u b ɑ d l ɔ
უბედურად	u b ɛ d u r ɑ d
უბედურება	u b ɛ d u r ɛ b ɑ
უბედურები	u b ɛ d u r ɛ b i
უბედური	u b ɛ d u r i
უბერავს	u b ɛ r ɑ v s
უბრალო	u b r ɑ l ɔ
უბრალოდ	u b r ɑ l ɔ d
უგანდა	u ɡ ɑ n d ɑ
უგემოვნო	u ɡ ɛ m ɔ v n ɔ
უგემოვნოდ	u ɡ ɛ m ɔ v n ɔ d
