abba	ɒ bː ɒ
sérülést	ʃ eː r y l eː ʃ t
sík	ʃ iː k
sípcsont	ʃ iː p t͡ʃ o n t
sír	ʃ iː r
sírok	ʃ iː r o k
sírva	ʃ iː r v ɒ
sógunátus	ʃ oː ɡ u n aː t u ʃ
sólyom	ʃ oː j o m
sós	ʃ oː ʃ
söpör	ʃ ø p ø r
sörök	ʃ ø r ø k
sötét	ʃ ø t eː t
sötétben	ʃ ø t eː d b ɛ n
sötétebb	ʃ ø t eː t ɛ bː
sötétek	ʃ ø t eː t ɛ k
sötétség	ʃ ø t eː t͡ʃː eː ɡ
súllyal	ʃ uː jː ɒ l
súlya	ʃ uː j ɒ
súlyos	ʃ uː j o ʃ
süllők	ʃ y lː øː k
sült	ʃ y l t
sürgősen	ʃ y r ɡ øː ʃ ɛ n
sütemények	ʃ y t ɛ m eː ɲ ɛ k
sütés	ʃ y t eː ʃ
sütő	ʃ y t øː
sőt	ʃ øː t
tagadja	t ɒ ɡ ɒ ɟː ɒ
tagdíj	t ɒ ɡ d iː j
tagja	t ɒ ɡ j ɒ
tagjai	t ɒ ɡ j ɒ j i
tagjaival	t ɒ ɡ j ɒ j i v ɒ l
tagjaként	t ɒ ɡ j ɒ k eː n t
tagjának	t ɒ ɡ j aː n ɒ k
tagok	t ɒ ɡ o k
tagokat	t ɒ ɡ o k ɒ t
tagországok	t ɒ ɡ o r s aː ɡ o k
tagú	t ɒ ɡ uː
tajvan	t ɒ j v ɒ n
takarékos	t ɒ k ɒ r eː k o ʃ
takarítunk	t ɒ k ɒ r iː t u ŋ k
talaj	t ɒ l ɒ j
talajok	t ɒ l ɒ j o k
talajt	t ɒ l ɒ j t
talpraesett	t ɒ l p r ɒ ɛ ʃ ɛ tː
talál	t ɒ l aː l
található	t ɒ l aː l ɦ ɒ t oː
találhatók	t ɒ l aː l ɦ ɒ t oː k
találja	t ɒ l aː jː ɒ
találják	t ɒ l aː jː aː k
találkozni	t ɒ l aː l k o z n i
találkozott	t ɒ l aː l k o z o tː
találkozunk	t ɒ l aː l k o z u ŋ k
találkozás	t ɒ l aː l k o z aː ʃ
találkozó	t ɒ l aː l k o z oː
találkozók	t ɒ l aː l k o z oː k
találkozókon	t ɒ l aː l k o z oː k o n
találkozót	t ɒ l aː l k o z oː t
találni	t ɒ l aː l n i
találom	t ɒ l aː l o m
találsz	t ɒ l aː l s
talált	t ɒ l aː l t
találta	t ɒ l aː l t ɒ
találtak	t ɒ l aː l t ɒ k
találtam	t ɒ l aː l t ɒ m
talán	t ɒ l aː n
tanfolyam	t ɒ ɱ f o j ɒ m
tanfolyamokat	t ɒ ɱ f o j ɒ m o k ɒ t
tanfolyamot	t ɒ ɱ f o j ɒ m o t
tankönyvek	t ɒ ŋ k ø ɲ v ɛ k
tanszék	t ɒ n s eː k
tantárgy	t ɒ n t aː r ɟ
tantárgyak	t ɒ n t aː r ɟ ɒ k
tantárgyi	t ɒ n t aː r ɟ i
tanulmány	t ɒ n u l m aː ɲ
tanulmányait	t ɒ n u l m aː ɲ ɒ j i t
tanulmányi	t ɒ n u l m aː ɲ i
tanulmányok	t ɒ n u l m aː ɲ o k
tanulmányokat	t ɒ n u l m aː ɲ o k ɒ t
tanulmányom	t ɒ n u l m aː ɲ o m
tanulmányra	t ɒ n u l m aː ɲ r ɒ
tanulmányt	t ɒ n u l m aː ɲ t
tanulságos	t ɒ n u l ʃ aː ɡ o ʃ
tanulás	t ɒ n u l aː ʃ
tanulásra	t ɒ n u l aː ʃ r ɒ
tanuló	t ɒ n u l oː
tanulói	t ɒ n u l oː j i
tanulók	t ɒ n u l oː k
tanáccsal	t ɒ n aː t͡ʃː ɒ l
tanács	t ɒ n aː t͡ʃ
tanácsa	t ɒ n aː t͡ʃ ɒ
tanácsadás	t ɒ n aː t͡ʃ ɒ d aː ʃ
tanácsadó	t ɒ n aː t͡ʃ ɒ d oː
tanácshoz	t ɒ n aː t͡ʃ h o z
tanácsi	t ɒ n aː t͡ʃ i
tanácskozás	t ɒ n aː t͡ʃ k o z aː ʃ
tanácsot	t ɒ n aː t͡ʃ o t
tanár	t ɒ n aː r
tanári	t ɒ n aː r i
tanárok	t ɒ n aː r o k
tanárokkal	t ɒ n aː r o kː ɒ l
tanév	t ɒ n eː v
tanítani	t ɒ n iː t ɒ n i
tanított	t ɒ n iː t o tː
tanítottak	t ɒ n iː t o tː ɒ k
tanítványa	t ɒ n iː t v aː ɲ ɒ
tanítása	t ɒ n iː t aː ʃ ɒ
tanítások	t ɒ n iː t aː ʃ o k
tanító	t ɒ n iː t oː
tanú	t ɒ n uː
tanúja	t ɒ n uː j ɒ
tanúk	t ɒ n uː k
tapasztalat	t ɒ p ɒ s t ɒ l ɒ t
tapasztalatai	t ɒ p ɒ s t ɒ l ɒ t ɒ j i
tapasztalatok	t ɒ p ɒ s t ɒ l ɒ t o k
tapasztalatot	t ɒ p ɒ s t ɒ l ɒ t o t
tapasztalt	t ɒ p ɒ s t ɒ l t
tapasztaltam	t ɒ p ɒ s t ɒ l t ɒ m
tart	t ɒ r t
tartalma	t ɒ r t ɒ l m ɒ
tartalmak	t ɒ r t ɒ l m ɒ k
tartalmaznia	t ɒ r t ɒ l m ɒ z n i j ɒ
tartalmazza	t ɒ r t ɒ l m ɒ zː ɒ
tartalmazó	t ɒ r t ɒ l m ɒ z oː
tartalmát	t ɒ r t ɒ l m aː t
tartalom	t ɒ r t ɒ l o m
tartalommal	t ɒ r t ɒ l o mː ɒ l
tartalék	t ɒ r t ɒ l eː k
tartana	t ɒ r t ɒ n ɒ
tartanak	t ɒ r t ɒ n ɒ k
tartandó	t ɒ r t ɒ n d oː
tartani	t ɒ r t ɒ n i
tartania	t ɒ r t ɒ n i j ɒ
tartanom	t ɒ r t ɒ n o m
tartaná	t ɒ r t ɒ n aː
tartanák	t ɒ r t ɒ n aː k
tarthat	t ɒ r t h ɒ t
tartja	t ɒ r c ɒ
tartjuk	t ɒ r c u k
tartják	t ɒ r c aː k
tartományban	t ɒ r t o m aː ɲ b ɒ n
tartott	t ɒ r t o tː
tartotta	t ɒ r t o tː ɒ
tartottak	t ɒ r t o tː ɒ k
tartottam	t ɒ r t o tː ɒ m
tartottuk	t ɒ r t o tː u k
tartottunk	t ɒ r t o tː u ŋ k
tartották	t ɒ r t o tː aː k
tartozik	t ɒ r t o z i k
tartoznak	t ɒ r t o z n ɒ k
tartozó	t ɒ r t o z oː
tartsanak	t ɒ r t͡ʃ ɒ n ɒ k
tartsuk	t ɒ r t͡ʃ u k
tartunk	t ɒ r t u ŋ k
tartó	t ɒ r t oː
tartók	t ɒ r t oː k
tartós	t ɒ r t oː ʃ
tartózkodik	t ɒ r t oː s k o d i k
tartózkodás	t ɒ r t oː s k o d aː ʃ
tasakok	t ɒ ʃ ɒ k o k
tatabánya	t ɒ t ɒ b aː ɲ ɒ
tavacska	t ɒ v ɒ t͡ʃ k ɒ
tavak	t ɒ v ɒ k
tavaly	t ɒ v ɒ j
tavalyi	t ɒ v ɒ j i
tavaszi	t ɒ v ɒ s i
tavat	t ɒ v ɒ t
tb	t eː b eː
te	t ɛ
technikai	t ɛ x n i k ɒ j i
technikusok	t ɛ x n i k u ʃ o k
technikát	t ɛ x n i k aː t
technikával	t ɛ x n i k aː v ɒ l
technológia	t ɛ x n o l oː ɡ i j ɒ
technológiai	t ɛ x n o l oː ɡ i j ɒ j i
technológiák	t ɛ x n o l oː ɡ i j aː k
technológiákat	t ɛ x n o l oː ɡ i j aː k ɒ t
technológiát	t ɛ x n o l oː ɡ i j aː t
teendők	t ɛ ɛ n d øː k
tegnap	t ɛ ɡ n ɒ p
tegnapi	t ɛ ɡ n ɒ p i
tegye	t ɛ ɟ ɛ
tegyenek	t ɛ ɟ ɛ n ɛ k
tegyék	t ɛ ɟ eː k
tegyük	t ɛ ɟ y k
teheti	t ɛ h ɛ t i
tehetséges	t ɛ h ɛ t͡ʃː eː ɡ ɛ ʃ
tehettek	t ɛ h ɛ tː ɛ k
tehették	t ɛ h ɛ tː eː k
tehetünk	t ɛ h ɛ t y ŋ k
tehát	t ɛ ɦ aː t
tejet	t ɛ j ɛ t
teker	t ɛ k ɛ r
tekintet	t ɛ k i n t ɛ t
tekintetek	t ɛ k i n t ɛ t ɛ k
tekintettel	t ɛ k i n t ɛ tː ɛ l
tekinthető	t ɛ k i n t h ɛ t øː
tekintve	t ɛ k i n t v ɛ
tekintély	t ɛ k i n t eː j
tekintélyes	t ɛ k i n t eː j ɛ ʃ
tele	t ɛ l ɛ
telefon	t ɛ l ɛ f o n
telefonnal	t ɛ l ɛ f o nː ɒ l
telefonon	t ɛ l ɛ f o n o n
telefonos	t ɛ l ɛ f o n o ʃ
teleki	t ɛ l ɛ k i
telepes	t ɛ l ɛ p ɛ ʃ
telepítése	t ɛ l ɛ p iː t eː ʃ ɛ
település	t ɛ l ɛ p y l eː ʃ
települések	t ɛ l ɛ p y l eː ʃ ɛ k
településeken	t ɛ l ɛ p y l eː ʃ ɛ k ɛ n
településekről	t ɛ l ɛ p y l eː ʃ ɛ k r øː l
településen	t ɛ l ɛ p y l eː ʃ ɛ n
települést	t ɛ l ɛ p y l eː ʃ t
teli	t ɛ l i
telik	t ɛ l i k
teljes	t ɛ jː ɛ ʃ
teljesebb	t ɛ jː ɛ ʃ ɛ bː
teljesen	t ɛ jː ɛ ʃ ɛ n
teljessé	t ɛ jː ɛ ʃː eː
teljesség	t ɛ jː ɛ ʃː eː ɡ
teljesítenek	t ɛ jː ɛ ʃ iː t ɛ n ɛ k
teljesíteni	t ɛ jː ɛ ʃ iː t ɛ n i
teljesíti	t ɛ jː ɛ ʃ iː t i
teljesítményét	t ɛ jː ɛ ʃ iː t m eː ɲ eː t
teljesítményű	t ɛ jː ɛ ʃ iː t m eː ɲ yː
teljesítése	t ɛ jː ɛ ʃ iː t eː ʃ ɛ
teljesítő	t ɛ jː ɛ ʃ iː t øː
teljesül	t ɛ jː ɛ ʃ y l
telt	t ɛ l t
temető	t ɛ m ɛ t øː
temetőben	t ɛ m ɛ t øː b ɛ n
templom	t ɛ m p l o m
templomi	t ɛ m p l o m i
templomok	t ɛ m p l o m o k
templomot	t ɛ m p l o m o t
tempó	t ɛ m p oː
tengerfenék	t ɛ ŋ ɡ ɛ r f ɛ n eː k
tengeri	t ɛ ŋ ɡ ɛ r i
tengerparti	t ɛ ŋ ɡ ɛ r p ɒ r t i
tenni	t ɛ nː i
tennie	t ɛ nː i j ɛ
tenné	t ɛ nː eː
tennék	t ɛ nː eː k
teológus	t ɛ o l oː ɡ u ʃ
terek	t ɛ r ɛ k
terem	t ɛ r ɛ m
terembe	t ɛ r ɛ m b ɛ
teremben	t ɛ r ɛ m b ɛ n
teremtő	t ɛ r ɛ m t øː
terep	t ɛ r ɛ p
terepen	t ɛ r ɛ p ɛ n
terepet	t ɛ r ɛ p ɛ t
teret	t ɛ r ɛ t
terheink	t ɛ r ɦ ɛ j i ŋ k
terjed	t ɛ r j ɛ d
termel	t ɛ r m ɛ l
termelés	t ɛ r m ɛ l eː ʃ
termék	t ɛ r m eː k
termékei	t ɛ r m eː k ɛ j i
termékek	t ɛ r m eː k ɛ k
termékeket	t ɛ r m eː k ɛ k ɛ t
terméket	t ɛ r m eː k ɛ t
termés	t ɛ r m eː ʃ
természet	t ɛ r m eː s ɛ t
természetbeni	t ɛ r m eː s ɛ d b ɛ n i
természetes	t ɛ r m eː s ɛ t ɛ ʃ
természetesen	t ɛ r m eː s ɛ t ɛ ʃ ɛ n
természetvédelem	t ɛ r m eː s ɛ t v eː d ɛ l ɛ m
terroristák	t ɛ rː o r i ʃ t aː k
terv	t ɛ r v
terve	t ɛ r v ɛ
terveik	t ɛ r v ɛ j i k
tervek	t ɛ r v ɛ k
terveket	t ɛ r v ɛ k ɛ t
tervet	t ɛ r v ɛ t
tervez	t ɛ r v ɛ z
tervezet	t ɛ r v ɛ z ɛ t
tervezetet	t ɛ r v ɛ z ɛ t ɛ t
tervezett	t ɛ r v ɛ z ɛ tː
tervezési	t ɛ r v ɛ z eː ʃ i
tervezők	t ɛ r v ɛ z øː k
terápiás	t ɛ r aː p i j aː ʃ
terén	t ɛ r eː n
terézia	t ɛ r eː z i j ɒ
teríték	t ɛ r iː t eː k
területe	t ɛ r y l ɛ t ɛ
területei	t ɛ r y l ɛ t ɛ j i
területein	t ɛ r y l ɛ t ɛ j i n
területfejlesztési	t ɛ r y l ɛ t f ɛ j l ɛ s t eː ʃ i
területi	t ɛ r y l ɛ t i
területileg	t ɛ r y l ɛ t i l ɛ ɡ
területén	t ɛ r y l ɛ t eː n
területét	t ɛ r y l ɛ t eː t
tessék	t ɛ ʃː eː k
teste	t ɛ ʃ t ɛ
testet	t ɛ ʃ t ɛ t
testi	t ɛ ʃ t i
testnevelés	t ɛ ʃ t n ɛ v ɛ l eː ʃ
testre	t ɛ ʃ t r ɛ
testvér	t ɛ ʃ t v eː r
testvére	t ɛ ʃ t v eː r ɛ
testvérek	t ɛ ʃ t v eː r ɛ k
testét	t ɛ ʃ t eː t
testük	t ɛ ʃ t y k
testület	t ɛ ʃ t y l ɛ t
testületek	t ɛ ʃ t y l ɛ t ɛ k
tesz	t ɛ s
teszem	t ɛ s ɛ m
teszik	t ɛ s i k
tesznek	t ɛ s n ɛ k
teszünk	t ɛ s y ŋ k
tetemes	t ɛ t ɛ m ɛ ʃ
tetszel	t ɛ t͡sː ɛ l
tetszett	t ɛ t͡sː ɛ tː
tetszik	t ɛ t͡sː i k
tett	t ɛ tː
tette	t ɛ tː ɛ
tettek	t ɛ tː ɛ k
tettelek	t ɛ tː ɛ l ɛ k
tettem	t ɛ tː ɛ m
tették	t ɛ tː eː k
tettünk	t ɛ tː y ŋ k
tető	t ɛ t øː
tetőt	t ɛ t øː t
tevé	t ɛ v eː
tevékeny	t ɛ v eː k ɛ ɲ
tevékenység	t ɛ v eː k ɛ ɲ ʃ eː ɡ
tevékenysége	t ɛ v eː k ɛ ɲ ʃ eː ɡ ɛ
tevékenységek	t ɛ v eː k ɛ ɲ ʃ eː ɡ ɛ k
tevékenységet	t ɛ v eː k ɛ ɲ ʃ eː ɡ ɛ t
tevékenységre	t ɛ v eː k ɛ ɲ ʃ eː ɡ r ɛ
tevékenységét	t ɛ v eː k ɛ ɲ ʃ eː ɡ eː t
textus	t ɛ k s t u ʃ
teát	t ɛ aː t
thaiföld	t aː j f ø l d
ti	t i
tibor	t i b o r
tigris	t i ɡ r i ʃ
tilalom	t i l ɒ l o m
tiltakozás	t i l t ɒ k o z aː ʃ
tiltsd	t i l d͡ʒ d
tipikus	t i p i k u ʃ
tipikusan	t i p i k u ʃ ɒ n
tisza	t i s ɒ
tiszt	t i s t
tisztaság	t i s t ɒ ʃ aː ɡ
tiszteletbeli	t i s t ɛ l ɛ d b ɛ l i
tiszteletére	t i s t ɛ l ɛ t eː r ɛ
tisztelt	t i s t ɛ l t
tisztes	t i s t ɛ ʃ
tisztességes	t i s t ɛ ʃː eː ɡ ɛ ʃ
tisztviselő	t i s t v i ʃ ɛ l øː
tisztátalan	t i s t aː t ɒ l ɒ n
tisztít	t i s t iː t
titeket	t i t ɛ k ɛ t
titka	t i t k ɒ
titkos	t i t k o ʃ
titkot	t i t k o t
titkára	t i t k aː r ɒ
titkárság	t i t k aː r ʃ aː ɡ
titokban	t i t o ɡ b ɒ n
titokzatos	t i t o ɡ z ɒ t o ʃ
tizedik	t i z ɛ d i k
tizenegyedik	t i z ɛ n ɛ ɟː ɛ d i k
tizenhat	t i z ɛ n ɦ ɒ t
tizenhét	t i z ɛ n ɦ eː t
tizenkét	t i z ɛ ŋ k eː t
tizennyolc	t i z ɛ ɲː o l t͡s
tizenéves	t i z ɛ n eː v ɛ ʃ
tojást	t o j aː ʃ t
tok	t o k
tollat	t o lː ɒ t
tolna	t o l n ɒ
tolvajt	t o l v ɒ j t
tonna	t o nː ɒ
torna	t o r n ɒ
torony	t o r o ɲ
torta	t o r t ɒ
további	t o v aː bː i
továbbiakban	t o v aː bː i j ɒ ɡ b ɒ n
továbbra	t o v aː b r ɒ
továbbá	t o v aː bː aː
tradicionális	t r ɒ d i t͡s i j o n aː l i ʃ
tragikus	t r ɒ ɡ i k u ʃ
tragédia	t r ɒ ɡ eː d i j ɒ
transzszexuális	t r ɒ n s ɛ k s u aː l i ʃ
tranzakciók	t r ɒ n z ɒ k t͡s i j oː k
trendi	t r ɛ n d i
tré	t r eː
tréning	t r eː n i ŋ ɡ
trójai	t r oː j ɒ j i
trópusi	t r oː p u ʃ i
trükk	t r y kː
tucat	t u t͡s ɒ t
tud	t u d
tudat	t u d ɒ t
tudatlanság	t u d ɒ t l ɒ n ʃ aː ɡ
tudatos	t u d ɒ t o ʃ
tudhat	t u t h ɒ t
tudja	t u ɟː ɒ
tudjunk	t u ɟː u ŋ k
tudna	t u d n ɒ
tudni	t u d n i
tudniillik	t u d n i i lː i k
tudniuk	t u d n i j u k
tudnák	t u d n aː k
tudod	t u d o d
tudok	t u d o k
tudom	t u d o m
tudomány	t u d o m aː ɲ
tudományos	t u d o m aː ɲ o ʃ
tudomásul	t u d o m aː ʃ u l
tudott	t u d o tː
tudsz	t u t͡sː
tudta	t u tː ɒ
tudtak	t u tː ɒ k
tudtam	t u tː ɒ m
tudtommal	t u tː o mː ɒ l
tudtuk	t u tː u k
tudtunk	t u tː u ŋ k
tudták	t u tː aː k
tudunk	t u d u ŋ k
tudás	t u d aː ʃ
tudások	t u d aː ʃ o k
tudásuk	t u d aː ʃ u k
tudásukat	t u d aː ʃ u k ɒ t
tudó	t u d oː
tulajdon	t u l ɒ j d o n
tulajdonképpen	t u l ɒ j d o ŋ k eː pː ɛ n
tulajdonos	t u l ɒ j d o n o ʃ
tulajdonosa	t u l ɒ j d o n o ʃ ɒ
tulajdonosai	t u l ɒ j d o n o ʃ ɒ j i
tulajdonosi	t u l ɒ j d o n o ʃ i
tulajdonság	t u l ɒ j d o n ʃ aː ɡ
tulajdonságai	t u l ɒ j d o n ʃ aː ɡ ɒ j i
turista	t u r i ʃ t ɒ
turisták	t u r i ʃ t aː k
turisztika	t u r i s t i k ɒ
turisztikai	t u r i s t i k ɒ j i
tv	t eː v eː
tyúk	c uː k
tábla	t aː b l ɒ
táblázat	t aː b l aː z ɒ t
tábornok	t aː b o r n o k
tábortűz	t aː b o r t yː z
tág	t aː ɡ
tágabb	t aː ɡ ɒ bː
tágasabb	t aː ɡ ɒ ʃ ɒ bː
táj	t aː j
tájak	t aː j ɒ k
tájkép	t aː j k eː p
tájékoztat	t aː j eː k o s t ɒ t
tájékoztatni	t aː j eː k o s t ɒ t n i
tájékoztatás	t aː j eː k o s t ɒ t aː ʃ
tájékoztatási	t aː j eː k o s t ɒ t aː ʃ i
tájékoztatást	t aː j eː k o s t ɒ t aː ʃ t
tájékoztató	t aː j eː k o s t ɒ t oː
tályog	t aː j o ɡ
támadt	t aː m ɒ tː
támadás	t aː m ɒ d aː ʃ
támadások	t aː m ɒ d aː ʃ o k
támadást	t aː m ɒ d aː ʃ t
támaszok	t aː m ɒ s o k
támaszt	t aː m ɒ s t
támasztott	t aː m ɒ s t o tː
támogatja	t aː m o ɡ ɒ cː ɒ
támogatni	t aː m o ɡ ɒ t n i
támogatás	t aː m o ɡ ɒ t aː ʃ
támogatási	t aː m o ɡ ɒ t aː ʃ i
támogatásnak	t aː m o ɡ ɒ t aː ʃ n ɒ k
támogatások	t aː m o ɡ ɒ t aː ʃ o k
támogatásokat	t aː m o ɡ ɒ t aː ʃ o k ɒ t
támogatásokkal	t aː m o ɡ ɒ t aː ʃ o kː ɒ l
támogatással	t aː m o ɡ ɒ t aː ʃː ɒ l
támogatást	t aː m o ɡ ɒ t aː ʃ t
támogató	t aː m o ɡ ɒ t oː
támogatói	t aː m o ɡ ɒ t oː j i
tánc	t aː n t͡s
tányér	t aː ɲ eː r
tár	t aː r
tárca	t aː r t͡s ɒ
tárcák	t aː r t͡s aː k
tárgya	t aː r ɟ ɒ
tárgyakat	t aː r ɟ ɒ k ɒ t
tárgyalni	t aː r ɟ ɒ l n i
tárgyalások	t aː r ɟ ɒ l aː ʃ o k
tárgyalásokat	t aː r ɟ ɒ l aː ʃ o k ɒ t
tárgyalást	t aː r ɟ ɒ l aː ʃ t
tárgyaló	t aː r ɟ ɒ l oː
tárgyilagos	t aː r ɟ i l ɒ ɡ o ʃ
tárgyában	t aː r ɟ aː b ɒ n
tárgyát	t aː r ɟ aː t
tárgyú	t aː r ɟ uː
tároló	t aː r o l oː
társadalmat	t aː r ʃ ɒ d ɒ l m ɒ t
társadalmi	t aː r ʃ ɒ d ɒ l m i
társadalom	t aː r ʃ ɒ d ɒ l o m
társadalombiztosítás	t aː r ʃ ɒ d ɒ l o m b i s t o ʃ iː t aː ʃ
társai	t aː r ʃ ɒ j i
társasága	t aː r ʃ ɒ ʃ aː ɡ ɒ
társul	t aː r ʃ u l
társulat	t aː r ʃ u l ɒ t
társulás	t aː r ʃ u l aː ʃ
távirati	t aː v i r ɒ t i
távoktatás	t aː v o k t ɒ t aː ʃ
távol	t aː v o l
távolabb	t aː v o l ɒ bː
távolodik	t aː v o l o d i k
távolról	t aː v o rː oː l
távolsági	t aː v o l ʃ aː ɡ i
távon	t aː v o n
távú	t aː v uː
téged	t eː ɡ ɛ d
tégla	t eː ɡ l ɒ
tégy	t eː ɟ
tél	t eː l
télen	t eː l ɛ n
téli	t eː l i
téma	t eː m ɒ
témakörök	t eː m ɒ k ø r ø k
témában	t eː m aː b ɒ n
témához	t eː m aː ɦ o z
témája	t eː m aː j ɒ
témák	t eː m aː k
témákról	t eː m aː k r oː l
témáról	t eː m aː r oː l
témát	t eː m aː t
témával	t eː m aː v ɒ l
tény	t eː ɲ
ténye	t eː ɲ ɛ
tények	t eː ɲ ɛ k
tényező	t eː ɲ ɛ z øː
tényezők	t eː ɲ ɛ z øː k
tényleges	t eː ɲ l ɛ ɡ ɛ ʃ
ténylegesen	t eː ɲ l ɛ ɡ ɛ ʃ ɛ n
tényét	t eː ɲ eː t
térben	t eː r b ɛ n
téren	t eː r ɛ n
térinformatika	t eː r i ɱ f o r m ɒ t i k ɒ
térjenek	t eː r j ɛ n ɛ k
térkép	t eː r k eː p
térképek	t eː r k eː p ɛ k
térképeket	t eː r k eː p ɛ k ɛ t
térképen	t eː r k eː p ɛ n
térképészet	t eː r k eː p eː s ɛ t
térni	t eː r n i
térség	t eː r ʃ eː ɡ
térségben	t eː r ʃ eː ɡ b ɛ n
térségek	t eː r ʃ eː ɡ ɛ k
térséggel	t eː r ʃ eː ɡː ɛ l
térségnek	t eː r ʃ eː ɡ n ɛ k
tért	t eː r t
térünk	t eː r y ŋ k
tét	t eː t
tétben	t eː d b ɛ n
téve	t eː v ɛ
tévedés	t eː v ɛ d eː ʃ
tévedésből	t eː v ɛ d eː ʒ b øː l
tévhit	t eː f h i t
tévében	t eː v eː b ɛ n
tévés	t eː v eː ʃ
tévét	t eː v eː t
típus	t iː p u ʃ
típust	t iː p u ʃ t
típusú	t iː p u ʃ uː
tíz	t iː z
tó	t oː
tóth	t oː t
több	t ø bː
többe	t ø bː ɛ
többek	t ø bː ɛ k
többen	t ø bː ɛ n
többet	t ø bː ɛ t
többféle	t ø p f eː l ɛ
többi	t ø bː i
többiek	t ø bː i j ɛ k
többiekkel	t ø bː i j ɛ kː ɛ l
többnyire	t ø b ɲ i r ɛ
többször	t ø p s ø r
többszörösen	t ø p s ø r ø ʃ ɛ n
többség	t ø p ʃ eː ɡ
többsége	t ø p ʃ eː ɡ ɛ
többséget	t ø p ʃ eː ɡ ɛ t
többé	t ø bː eː
tök	t ø k
tölt	t ø l t
tölteni	t ø l t ɛ n i
töltés	t ø l t eː ʃ
töltött	t ø l t ø tː
tömeg	t ø m ɛ ɡ
tömegben	t ø m ɛ ɡ b ɛ n
tömege	t ø m ɛ ɡ ɛ
tömegek	t ø m ɛ ɡ ɛ k
tömeges	t ø m ɛ ɡ ɛ ʃ
tömeget	t ø m ɛ ɡ ɛ t
tömör	t ø m ø r
tönk	t ø ŋ k
tönkre	t ø ŋ k r ɛ
tör	t ø r
törekszik	t ø r ɛ k s i k
törekvés	t ø r ɛ k v eː ʃ
törekvések	t ø r ɛ k v eː ʃ ɛ k
törlés	t ø r l eː ʃ
törpe	t ø r p ɛ
törsz	t ø r s
tört	t ø r t
történelem	t ø r t eː n ɛ l ɛ m
történelmi	t ø r t eː n ɛ l m i
történet	t ø r t eː n ɛ t
történetet	t ø r t eː n ɛ t ɛ t
történetre	t ø r t eː n ɛ t r ɛ
történetét	t ø r t eː n ɛ t eː t
történtek	t ø r t eː n t ɛ k
történő	t ø r t eː n øː
törvény	t ø r v eː ɲ
törvényben	t ø r v eː ɲ b ɛ n
törvénye	t ø r v eː ɲ ɛ
törvények	t ø r v eː ɲ ɛ k
törvényes	t ø r v eː ɲ ɛ ʃ
törvénykönyv	t ø r v eː ɲ k ø ɲ v
törvénynek	t ø r v eː ɲ n ɛ k
törvényt	t ø r v eː ɲ t
törzs	t ø r ʒ
törzsek	t ø r ʒ ɛ k
törékeny	t ø r eː k ɛ ɲ
török	t ø r ø k
törölni	t ø r ø l n i
törülközőt	t ø r y l k ø z øː t
törődj	t ø r øː ɟː
túl	t uː l
túli	t uː l i
túlnyomó	t uː l ɲ o m oː
túlságosan	t uː l ʃ aː ɡ o ʃ ɒ n
túlzott	t uː l z o tː
túlzottan	t uː l z o tː ɒ n
túlzsúfolt	t uː l ʒ uː f o l t
túlzás	t uː l z aː ʃ
túlórák	t uː l oː r aː k
túr	t uː r
túra	t uː r ɒ
tükrözi	t y k r ø z i
tükörreflexes	t y k ø rː ɛ f l ɛ k s ɛ ʃ
tündérek	t y n d eː r ɛ k
tünet	t y n ɛ t
tüneti	t y n ɛ t i
tüntető	t y n t ɛ t øː
tőke	t øː k ɛ
tőlem	t øː l ɛ m
tőlük	t øː l y k
tőzsdei	t øː ʒ d ɛ j i
tűnt	t yː n t
tűr	t yː r
tűrőképesség	t yː r øː k eː p ɛ ʃː eː ɡ
tűzfegyver	t yː s f ɛ ɟ v ɛ r
tűzoltók	t yː z o l t oː k
tűzoltóság	t yː z o l t oː ʃ aː ɡ
udvarias	u d v ɒ r i j ɒ ʃ
uefa	uː ɛ f ɒ
ugranak	u ɡ r ɒ n ɒ k
ugrik	u ɡ r i k
ugyanannyi	u ɟ ɒ n ɒ ɲː i
ugyanaz	u ɟ ɒ n ɒ z
ugyancsak	u ɟ ɒ n t͡ʃ ɒ k
ugyanez	u ɟ ɒ n ɛ z
ugyanezt	u ɟ ɒ n ɛ s t
ugyanilyen	u ɟ ɒ n i j ɛ n
ugyanis	u ɟ ɒ n i ʃ
ugyanolyan	u ɟ ɒ n o j ɒ n
ugyanott	u ɟ ɒ n o tː
ugyanúgy	u ɟ ɒ n uː ɟ
ugye	u ɟ ɛ
ukrajna	u k r ɒ j n ɒ
ukrán	u k r aː n
un	u n
unióban	u n i j oː b ɒ n
unióhoz	u n i j oː ɦ o z
ura	u r ɒ
uraim	u r ɒ j i m
uralkodik	u r ɒ l k o d i k
uralkodó	u r ɒ l k o d oː
uralkodók	u r ɒ l k o d oː k
uralom	u r ɒ l o m
uram	u r ɒ m
urat	u r ɒ t
uruguay	u r u ɡ v aː j
urán	u r aː n
usa	u ʃ ɒ
uszályok	u s aː j o k
utak	u t ɒ k
utakon	u t ɒ k o n
utakra	u t ɒ k r ɒ
utal	u t ɒ l
utalhat	u t ɒ l ɦ ɒ t
utalt	u t ɒ l t
utalva	u t ɒ l v ɒ
utalványok	u t ɒ l v aː ɲ o k
utas	u t ɒ ʃ
utasok	u t ɒ ʃ o k
utasítás	u t ɒ ʃ iː t aː ʃ
