aad	aː t
sneller	s n ɛ l ə r
snelweg	s n ɛ l ʋ ɛ x
sneuvelen	s n øː v ə l ə n
snijwond	s n ɛ i̯ ʋ ɔ n t
snoeien	s n u i̯ ə n
snoek	s n u k
snoepje	s n u p j ə
snoepreis	s n u p r ɛ i̯ s
snotneus	s n ɔ t n øː s
snuffelhond	s n ʏ f ə l ɦ ɔ n t
snugger	s n ʏ ɣ ə r
snuiven	s n œ y̯ v ə n
soa	s oː aː
soennitisch	s u n i t i s
soep	s u p
soera	s uː r aː
soest	s u s t
soeverein	s u v ə r ɛ i̯ n
soevereiniteit	s u v ə r ɛ i̯ n i t ɛ i̯ t
sok	s ɔ k
sokkel	s ɔ k ə l
sokken	s ɔ k ə n
sol	s ɔ l
soldaat	s ɔ l d aː t
solist	s oː l ɪ s t
solo	s oː l oː
som	s ɔ m
sommige	s ɔ m ə ɣ ə
soms	s ɔ m s
somtijds	s ɔ m t ɛ i̯ t s
sonde	s ɔ n d ə
soort	s oː r t
sop	s ɔ p
sorry	s ɔ r i
sorteren	s ɔ r t eː r ə n
spaanplaat	s p aː n p l aː t
spaans	s p aː n s
spaarbank	s p aː r b ɑ ŋ k
spaargeld	s p aː r ɣ ɛ l t
spaarrekening	s p aː r eː k ə n ɪ ŋ
span	s p ɑ n
spandoek	s p ɑ n d u k
spanje	s p ɑ n j ə
spannen	s p ɑ n ə n
spannend	s p ɑ n ə n t
spanningsveld	s p ɑ n ɪ ŋ s f ɛ l t
spar	s p ɑ r
speciaal	s p eː ʃ aː l
specialist	s p eː ʃ aː l ɪ s t
specie	s p eː s i
speech	s p i t ʃ
speeksel	s p eː k s ə l
speelgoed	s p eː l ɣ u t
speelster	s p eː l s t ə r
speeltje	s p eː l t j ə
speelveld	s p eː l v ɛ l t
spek	s p ɛ k
spel	s p ɛ l
spelen	s p eː l ə n
speler	s p eː l ə r
spellen	s p ɛ l ə n
spelling	s p ɛ l ɪ ŋ
spelt	s p ɛ l t
sperma	s p ɛ r m aː
spervuur	s p ɛ r v yː r
speurhond	s p øː r ɦ ɔ n t
spiegel	s p i ɣ ə l
spieken	s p i k ə n
spies	s p i s
spijker	s p ɛ i̯ k ə r
spijkeren	s p ɛ i̯ k ɛ r ə n
spin	s p ɪ n
spindel	s p ɪ n d ə l
spinnen	s p ɪ n ə n
spits	s p ɪ t s
spitsstrook	s p ɪ t s t r oː k
splinternieuw	s p l ɪ n t ə r n i u̯
spoed	s p u t
spoedig	s p u d ə x
spoel	s p u l
spoelbak	s p u l b ɑ k
spoelen	s p u l ə n
spokerij	s p oː k ə r ɛ i̯
spook	s p oː k
spookhuis	s p oː k ɦ œ y̯ s
spookstad	s p oː k s t ɑ t
spoor	s p oː r
spoorlijn	s p oː r l ɛ i̯ n
spoorloos	s p oː r l oː s
spoorslags	s p oː r s l ɑ x s
spoorweg	s p oː r ʋ ɛ x
sporen	s p oː r ə n
sport	s p ɔ r t
sporten	s p ɔ r t ə n
spot	s p ɔ t
spraak	s p r aː k
spraakwaterval	s p r aː k ʋ aː t ə r v ɑ l
sprak	s p r ɑ k
spray	s p r eː
spreek	s p r eː k
spreekbeurt	s p r eː k b øː r t
spreekkamer	s p r eː k aː m ə r
spreekt	s p r eː k t
spreektaal	s p r eː k t aː l
spreekuur	s p r eː k yː r
spreekwoord	s p r eː k ʋ oː r t
spreken	s p r eː k ə n
spreuk	s p r øː k
spreuken	s p r øː k ə n
spring	s p r ɪ ŋ
springen	s p r ɪ ŋ ə n
springkussen	s p r ɪ ŋ k ʏ s ə n
springplank	s p r ɪ ŋ p l ɑ ŋ k
springt	s p r ɪ ŋ t
springvorm	s p r ɪ ŋ v ɔ r m
sprinten	s p r ɪ n t ə n
sproeien	s p r u i̯ ə n
sprong	s p r ɔ ŋ
sprookje	s p r oː k j ə
spruit	s p r œ y̯ t
spruiten	s p r œ y̯ t ə n
spuit	s p œ y̯ t
spuiten	s p œ y̯ t ə n
spul	s p ʏ l
srebrenica	s r ɛ b r eː n i t s aː
staafmixer	s t aː f m ɪ k s ə r
staal	s t aː l
staan	s t aː n
staart	s t aː r t
staat	s t aː t
staatkundig	s t aː t k ʏ n d ə x
staats	s t aː t s
staatsbedrijf	s t aː t s b ə d r ɛ i̯ f
staatsbezoek	s t aː t s b ə z u k
staatsgevaarlijk	s t aː t s x ə v aː r l ə k
staatsgreep	s t aː t s x r eː p
staatshoofd	s t aː t s ɦ oː f t
staatspensioen	s t aː t s p ɛ n ʃ u n
staatsschuld	s t aː t s x ʏ l t
staatssecretaris	s t aː t s eː k r ə t aː r ɪ s
stabiel	s t aː b i l
stad	s t ɑ t
stadhouder	s t ɑ t ɦ ɑ u̯ d ə r
stadhuis	s t ɑ t ɦ œ y̯ s
stadsbus	s t ɑ t s b ʏ s
stadscentrum	s t ɑ t s ɛ n t r ʏ m
stadsgezicht	s t ɑ t s x ə z ɪ x t
stadskern	s t ɑ t s k ɛ r n
stadsmuur	s t ɑ t s m yː r
stagiair	s t aː ʒ ɛː r
staken	s t aː k ə n
staking	s t aː k ɪ ŋ
stalen	s t aː l ə n
stam	s t ɑ m
stamboek	s t ɑ m b u k
stamboom	s t ɑ m b oː m
stamhoofd	s t ɑ m ɦ oː f t
stammen	s t ɑ m ə n
stampvol	s t ɑ m p v ɔ l
stamvader	s t ɑ m v aː d ə r
standaard	s t ɑ n d aː r t
standaardwerk	s t ɑ n d aː r t ʋ ɛ r k
standplaats	s t ɑ n d p l a t s
standpunt	s t ɑ n t p ʏ n t
standvastig	s t ɑ n t v ɑ s t i ɡ ə x
stapel	s t aː p ə l
stapelgek	s t aː p ə l ɣ ɛ k
start	s t ɑ r t
starter	s t ɑ r t ə r
startsein	s t ɑ r t s ɛ i̯ n
statief	s t aː t i f
station	s t aː ʃ ɔ n
statuut	s t aː t y t
stavoren	s t aː v oː r ə n
steden	s t eː d ə n
steeg	s t eː x
steek	s t eː k
steel	s t eː l
steen	s t eː n
steenkool	s t eː n k oː l
steenwijk	s t eː n ʋ ɛ i̯ k
stek	s t ɛ k
stekel	s t eː k ə l
stekelhuidige	s t eː k ə l ɦ œ y̯ d ə ɣ ə
steken	s t eː k ə n
stekker	s t ɛ k ə r
stelen	s t eː l ə n
stellen	s t ɛ l ə n
stelling	s t ɛ l ɪ ŋ
stem	s t ɛ m
stembus	s t ɛ m b ʏ s
stemhok	s t ɛ m ɦ ɔ k
stemmen	s t ɛ m ə n
stemming	s t ɛ m ɪ ŋ
stemt	s t ɛ m t
stemwijzer	s t ɛ m ʋ ɛ i̯ z ə r
stengel	s t ɛ ŋ ə l
step	s t ɛ p
ster	s t ɛ r
sterfbed	s t ɛ r f b ɛ t
sterfdag	s t ɛ r f d ɑ x
sterfte	s t ɛ r f t ə
sterk	s t ɛ r k
sterren	s t ɛ r ə n
sterrenkunde	s t ɛ r ə n k ʏ n d ə
sterven	s t ɛ r v ə n
steunen	s t øː n ə n
steven	s t eː v ə n
stevens	s t eː v ə n s
stiekem	s t i k ə m
stier	s t iː r
stijgen	s t ɛ i̯ ɣ ə n
stijn	s t ɛ i̯ n
stijve	s t ɛ i v ə
stilleven	s t ɪ l l eː v ə n
stilstand	s t ɪ l s t ɑ n t
stilte	k ɪ l t ə
stilzwijgen	s t ɪ l z ʋ ɛ i̯ ɣ ə n
stimulans	s t i m y l ɑ n s
stins	s t ɪ n s
stockholm	s t ɔ k ɦ ɔ l m
stoel	s t u l
stoelen	s t u l ə n
stoep	s t u p
stoepa	s t u p aː
stoeterij	s t u t ə r ɛ i̯
stof	s t ɔ f
stoffen	s t ɔ f ə n
stofvrij	s t ɔ f r ɛ i̯
stofwisseling	s t ɔ f ʋ ɪ s ə l ɪ ŋ
stofwolk	s t ɔ f ʋ ɔ l k
stofzuiger	s t ɔ f s œ y̯ ɣ ə r
stok	s t ɔ k
stokbrood	s t ɔ k b r oː t
stoken	s t oː k ə n
stol	s t ɔ l
stollen	s t ɔ l ə n
stom	s t ɔ m
stomen	s t oː m ə n
stomerij	s t oː m ə r ɛ i̯
stomp	s t ɔ m p
stond	s t ɔ n t
stookolie	s t oː k oː l i
stoom	s t oː m
stoombad	s t oː m b ɑ t
stoomboot	s t oː m b oː t
stoomgemaal	s t oː m ɣ ə m aː l
stoomturbine	s t oː m t ʏ r b i n ə
stop	s t ɔ p
stopcontact	s t ɔ p k ɔ n t ɑ k t
stoplicht	s t ɔ p l ɪ x t
storen	s t oː r ə n
storing	s t oː r ɪ ŋ
stork	s t ɔ r k
storm	s t ɔ r m
stormachtig	s t ɔ r m ɑ x t ə x
stormbandpinguïn	s t ɔ r m b ɑ n t p ɪ ŋ ɡ ʋ ɪ n
stort	s t ɔ r t
storten	s t ɔ r t ə n
storting	s t ɔ r t ɪ ŋ
stoten	s t oː t ə n
stout	s t ɑ u̯ t
straaljager	s t r aː l j aː ɣ ə r
straalvinnige	s t r aː l v ɪ n ə ɣ ə
straat	s t r aː t
straatnaam	s t r aː t n aː m
straatsburg	s t r aː t s b ʏ r x
strafbaar	s t r ɑ f b aː r
straffen	s t r ɑ f ə n
strafkamp	s t r ɑ f k ɑ m p
strafrecht	s t r ɑ f r ɛ x t
strafschop	s t r ɑ f s x ɔ p
strafstudie	s t r ɑ f s t y d i
strak	s t r ɑ k
stralen	s t r aː l ə n
strandpaviljoen	s t r ɑ n t p aː v ɪ l j u n
stream	s t r iː m
streek	s t r eː k
streep	s t r eː p
strekken	s t r ɛ k ə n
streng	s t r ɛ ŋ
strepen	s t r eː p ə n
streven	s t r eː v ə n
striep	s t r i p
strijden	s t r ɛ i̯ d ə n
strijdtoneel	s t r ɛ i̯ t oː n eː l
strijken	s t r ɛ i̯ k ə n
stripboek	s t r ɪ p b u k
stripfiguur	s t r ɪ p f i ɣ yː r
strippenkaart	s t r ɪ p ə n k aː r t
stromen	s t r oː m ə n
stront	s t r ɔ n t
strontium	s t r ɔ n t s i ʏ m
strooien	s t r oː i̯ ə n
strook	s t r oː k
stroom	s t r oː m
stroop	s t r oː p
strop	s t r ɔ p
stropen	s t r oː p ə n
stropop	s t r oː p ɔ p
strot	s t r ɔ t
structuur	s t r ʏ k t y r
struikelen	s t r œ y̯ k ə l ə n
studeerkamer	s t y d eː r k aː m ə r
studeren	s t y d eː r ə n
studie	s t y d i
studio	s t y d i oː
stug	s t ʏ x
stuifsneeuw	s t œ y̯ f s n eː u̯
stuk	s t ʏ k
sturen	s t y r ə n
stuur	s t y r
stuurbekrachtiging	s t yː r b ə k r ɑ x t ə ɣ ɪ ŋ
stuurhut	s t yː r ɦ ʏ t
stuurwiel	s t yː r ʋ i l
stylus	s t i l ʏ s
substantie	s ʏ b s t ɑ n s i
sudderen	s ʏ d ə r ə n
sufferd	s ʏ f ə r t
suiker	s œ y̯ k ə r
suikerpatiënt	s œ y̯ k ə r p aː ʃ ɛ n t
suikerziekte	s œ y̯ k ə r z i k t ə
sultan	s ʏ l t ɑ n
sumatra	s y m aː t r aː
superheld	s y p ə r ɦ ɛ l t
superieur	s y p eː r i øː r
supermarkt	s y p ə r m ɑ r k t
supplement	s ʏ p l ə m ɛ n t
suppletie	s ʏ p l eː t s i
supporter	s ʏ p ɔ r t ə r
supporters	s ʏ p ɔ r t ə r s
surinaams	s y r i n aː m s
suriname	s y r i n aː m ə
surinamer	s y r i n aː m ə r
surprise	s ʏ r p r iː z ə
sushi	s u ʃ i
suspensie	s ʏ s p ɛ n s i
sven	s ʋ ɛ n
swingen	s ʋ ɪ ŋ ə n
symboliek	s ɪ m b oː l i k
symbool	s ɪ m b oː l
synagoge	s i n aː ɣ oː ɣ ə
syndroom	s ɪ n d r oː m
synthese	s ɪ n t eː z ə
synthetisch	s ɪ n t eː t i s
syrinx	s iː r ɪ ŋ k s
taak	t aː k
taakstraf	t aː k s t r ɑ f
taal	t aː l
taalfilosofie	t aː l f i l oː s oː f i
taalgebied	t aː l ɣ ə b i t
taalgrens	t aː l ɣ r ɛ n s
taalwetenschap	t aː l ʋ eː t ə n s x ɑ p
tabak	t aː b ɑ k
tabblad	t ɑ b l ɑ t
tabel	t aː b ɛ l
taboe	t aː b u
tachtig	t ɑ x t ə x
tafel	t aː f ə l
tafeltennis	t aː f ə l t ɛ n ɪ s
tafelzilver	t aː f ə l z ɪ l v ə r
taille	t ɑ j ə
tak	t ɑ k
taken	t aː k ə n
taks	t ɑ k s
talen	t aː l ə n
talent	t aː l ɛ n t
tam	t ɑ m
tamboer	t ɑ m b uː r
tamelijk	t aː m ə l ə k
tamil	t aː m i l
tand	t ɑ n t
tandarts	t ɑ n d ɑ r t s
tandem	t ɑ n d ɛ m
tanden	t ɑ n d ə n
tandheelkunde	t ɑ n t ɦ eː l k ʏ n d ə
tandpasta	t ɑ n t p ɑ s t aː
tandplak	t ɑ n t p l ɑ k
tandsteen	t ɑ n t s t eː n
tandvlees	t ɑ n t f l eː s
tang	t ɑ ŋ
tango	t ɑ ŋ ɡ oː
tanker	t ɛ ŋ k ə r
tante	t ɑ n t ə
tap	t ɑ p
tapijt	t aː p ɛ i̯ t
tapir	t aː p i r
tarief	t aː r i f
tas	t ɑ s
tatoeëren	t ɑ t u eː r ə n
taugé	t ɑ u̯ ɡ eː
taxi	t ɑ k s i
te	t ə
team	t iː m
teamwerk	t iː m ʋ ɛ r k
technicus	t ɛ x n i k ʏ s
teef	t eː f
teelt	t eː l t
teen	t eː n
tegelen	t eː ɣ ə l ə n
tegen	t eː ɣ ə n
tegenaan	t eː ɣ ə n aː n
tegenaanval	t eː ɣ ə n aː n v ɑ l
tegengif	t eː ɣ ə n ɣ ɪ f
tegenover	t eː ɣ ə n oː v ə r
tegenovergestelde	t eː ɣ ə n oː v ə r ɣ ə s t ɛ l d ə
tegenpartij	t eː ɣ ə n p ɑ r t ɛ i̯
tegenspeler	t eː ɣ ə n s p eː l ə r
tegenspoed	t eː ɣ ə n s p u t
tegenwerpen	t eː ɣ ə n ʋ ɛ r p ə n
tegenwicht	t eː ɣ ə n ʋ ɪ x t
tehuis	t ə ɦ œ y̯ s
tekenaar	t eː k ə n aː r
tekenen	t eː k ə n ə n
tekenfilm	t eː k ə n f ɪ l m
tekort	t ə k ɔ r t
tekst	t ɛ k s t
telefonisch	t eː l ə f oː n i s
telefoon	t eː l ə f oː n
telefoongesprek	t eː l ə f oː n ɣ ə s p r ɛ k
telefoongids	t eː l ə f oː n ɣ ɪ t s
telefoonnummer	t eː l ə f oː n ʏ m ə r
telegraaf	t eː l ə ɣ r aː f
telegram	t eː l ə ɡ r ɑ m
telen	t eː l ə n
teletekst	t eː l ə t ɛ k s t
teleurstellen	t ə l øː r s t ɛ l ə n
televisie	t eː l ə v i z i
telg	t ɛ l x
tempel	t ɛ m p ə l
tempelman	t ɛ m p ə l m ɑ n
temperatuur	t ɛ m p ə r aː t yː r
ten	t ɛ n
tenach	t ə n ɑ x
teneinde	t ɛ n ɛ i̯ n d ə
tenen	t eː n ə n
tennis	t ɛ n ə s
tennisbaan	t ɛ n ə s b aː n
tennissen	t ɛ n ɪ s ə n
tennisser	t ɛ n ɪ s ə r
tent	t ɛ n t
tepel	t eː p ə l
terdege	t ɛ r d eː ɣ ə
terechtstelling	t ə r ɛ x t s t ɛ l ɪ ŋ
terloops	t ɛ r l oː p s
termen	t ɛ r m ə n
territorium	t ɛ r ɪ t oː r i ʏ m
terrorisme	t ɛ r ɔ r ɪ s m ə
terschelling	t ɛ r s x ɛ l ɪ ŋ
teruggaan	t ə r ʏ x aː n
test	t ɛ s t
testament	t ɛ s t a m ɛ n t
teug	t øː x
teun	t øː n
teveel	t ə v eː l
teweegbrengen	t ə ʋ eː x b r ɛ ŋ ə n
texas	t ɛ k s ɑ s
texel	t ɛ s ə l
thai	t ɑ i̯
thailand	t ɑ i l ɑ n t
thans	t ɑ n s
theater	t eː j aː t ə r
thee	t eː
theetuin	t eː t œ y̯ n
theo	t eː j oː
theorie	t eː oː r i
thermodynamisch	t ɛ r m oː d i n aː m i s
thomas	t oː m ɑ s
thorn	t ɔ r n
thuis	t œ y̯ s
thuisfront	t œ y̯ s f r ɔ n t
thuisgevoel	t œ y̯ s x ə v u l
thuiskomst	t œ y̯ s k ɔ m s t
ticket	t ɪ k ə t
tiel	t i l
tien	t i n
tiende	t i n d ə
tienjarig	t i n j aː r ə x
tij	t ɛ i̯
tijd	t ɛ i̯ t
tijdens	t ɛ i̯ d ə n s
tijdgenoot	t ɛ i̯ t x ə n oː t
tijdperk	t ɛ i̯ t p ɛ r k
tijdschema	t ɛ i̯ t s x eː m aː
tijdschrift	t ɛ i̯ t s x r ɪ f t
tijdsduur	t ɛ i̯ t s d yː r
tijdstip	t ɛ i̯ t s t ɪ p
tikken	t ɪ k ə n
tilburg	t ɪ l b ʏ r x
tim	t ɪ m
timing	t ɑ i̯ m ɪ ŋ
timmer	t ɪ m ə r
timmeren	t ɪ m ə r ə n
timmerman	t ɪ m ə r m ɑ n
tin	t ɪ n
tintelfris	t ɪ n t ə l f r ɪ s
tobben	t ɔ b ə n
toch	t ɔ x
tocht	t ɔ x t
tochtgenoot	t ɔ x t x ə n oː t
toe	t u
toekan	t u k ɑ n
toekomst	t u k ɔ m s t
toekomstige	t u k ɔ m s t ə ɣ ə
toendra	t u n d r aː
toenemen	t u n eː m ə n
toeren	t uː r ə n
toerisme	t u r ɪ s m ə
toerist	t u r ɪ s t
toeslaan	t u s l aː n
toeslag	t u s l ɑ x
toespraak	t u s p r aː k
toetreding	t u t r eː d ɪ ŋ
toets	t u t s
toetsenbord	t u t s ə n b ɔ r t
toeval	t uː v ɑ l
toeven	t u v ə n
toevlucht	t u v l ʏ x t
toevluchtsoord	t u v l ʏ x t s oː r t
toevoegen	t u v u ɣ ə n
toewijding	t u ʋ ɛ i̯ d ɪ ŋ
toezicht	t u z ɪ x t
toilet	t ʋ aː l ɛ t
tokio	t oː k i j oː
toko	t oː k oː
tol	t ɔ l
tolheffing	t ɔ l ɦ ɛ f ɪ ŋ
tolhuis	t ɔ l ɦ œ y̯ s
tolken	t ɔ l k ə n
tolweg	t ɔ l ʋ ɛ x
tomaat	t oː m aː t
tomatensaus	t oː m aː t ə n s ɑ u̯ s
ton	t ɔ n
toneel	t oː n eː l
toneelspeler	t oː n eː l s p eː l ə r
tonen	t oː n ə n
tong	t ɔ ŋ
tongen	t ɔ ŋ ə n
toog	t oː x
tool	t uː l
toon	t oː n
toonbank	t oː n b ɑ ŋ k
toonbeeld	t oː n b eː l t
toonsoort	t oː n s oː r t
topless	t ɔ p l ə s
topman	t ɔ p m ɑ n
topoi	t o p ɔ ɪ
topper	t ɔ p ə r
topprioriteit	t ɔ p p r i oː r i t ɛ i̯ t
topscoorder	t ɔ p s k oː r d ə r
tora	t oː r aː
torsen	t ɔ r s ə n
tosti	t ɔ s t i
tot	t ɔ t
totdat	t ɔ t d ɑ t
touw	t ɑ u̯
toveren	t oː v ə r ə n
toverspreuk	t oː v ə r s p r øː k
traag	t r aː x
trachten	t r ɑ x t ə n
traditie	t r aː d i t s i
traditiegetrouw	t r aː d i t s i ɣ ə t r ɑ u̯
tragisch	t r aː ɣ i s
tragische	t r aː ɣ i s ə
training	t r eː n ɪ ŋ
transformatie	t r ɑ n s f ɔ r m aː t s i
trap	t r ɑ p
trappen	t r ɑ p ə n
trechter	t r ɛ x t ə r
trede	t r eː d ə
treden	t r eː d ə n
tree	t r eː
treffen	t r ɛ f ə n
treffer	t r ɛ f ə r
trein	t r ɛ i̯ n
trek	t r ɛ k
trekhaak	t r ɛ k ɦ aː k
trend	t r ɛ n t
treur	t r øː r
trijntje	t r ɛ i̯ n j t j ə
trillen	t r ɪ l ə n
trilling	t r ɪ l ɪ ŋ
triton	t r i t ɔ n
troef	t r u f
troep	t r u p
troeteldier	t r u t ə l d iː r
trok	t r ɔ k
trollen	t r ɔ l ə n
trombone	t r ɔ m b ɔː n ə
trombose	t r ɔ m b oː z ə
tromp	t r ɔ m p
trompet	t r ɔ m p ɛ t
trompetter	t r ɔ m p ɛ t ə r
troon	t r oː n
troonsafstand	t r oː n s ɑ f s t ɑ n t
troost	t r oː s t
trossen	t r ɔ s ə n
trouw	t r ɑ u̯
trouwen	t r ɑ u̯ ə n
truc	t r y k
trui	t r œ y̯
tsaar	t s aː r
tsarina	t s aː r i n aː
tsjechië	t ʃ ɛ x i j ə
tsunami	t s u n aː m i
tuig	t œ y̯ x
tuigleer	t œ y̯ x l eː r
tuinbouw	t œ y̯ n b ɑ u̯
tuinen	t œ y̯ n ə n
tuinkers	t œ y̯ ŋ k ɛ r s
tuinman	t œ y̯ n m ɑ n
tulp	t ʏ l p
tumor	t y m ɔ r
tuniek	t y n i k
tunnel	t ʏ n ə l
turbulentie	t ʏ r b y l ɛ n s i
tureluur	t yː r ə l yː r
turijn	t y r ɛ i̯ n
tussen	t ʏ s ə n
tussenruimtetjes	t ʏ s ə n r œ y̯ m t ə t j ə s
tussenstop	t ʏ s ə n s t ɔ p
twaalf	t ʋ aː l ə f
twaalfde	t ʋ aː l f d ə
twee	t ʋ eː
tweede	t ʋ eː d ə
tweedejaars	t ʋ eː d ə j aː r s
tweehonderd	t ʋ eː ɦ ɔ n d ə r t
tweepersoonsbed	t ʋ eː p ɛ r s oː n s b ɛ t
twente	t ʋ ɛ n t ə
twijfel	t ʋ ɛ i̯ f ə l
twijfelen	t ʋ ɛ i̯ f ə l ə n
twintig	t ʋ ɪ n t ə x
twintigste	t ʋ ɪ n t ə x s t ə
twisten	t ʋ ɪ s t ə n
typen	t i p ə n
typesoort	t i p ə s oː r t
typisch	t i p i s
ui	œ y̯
uil	œ y̯ l
uit	œ y̯ t
uitbarsting	œ y̯ t b ɑ r s t ɪ ŋ
uitblijven	œ y̯ d b l ɛ i̯ v ə n
uitbraak	œ y̯ t b r aː k
uitbreiding	œ y̯ t b r ɛ i̯ d ɪ ŋ
uitbreidingspakket	œ y̯ t b r ɛ i̯ d ɪ ŋ s p ɑ k ɛ t
uitbuiten	œ y̯ t b œ y̯ t ə n
uitbuiting	œ y̯ t b œ y̯ t ɪ ŋ
uitdaging	œ y̯ t d aː ɣ ɪ ŋ
uitdragen	œ y̯ d r aː ɣ ə n
uitdrukken	œ y̯ d r ʏ k ə n
uitdrukking	œ y̯ t d r ʏ k ɪ ŋ
uitdunnen	œ y̯ d ʏ n ə n
uiterst	œ y̯ t ə r s t
uiterwaard	œ y̯ t ə r ʋ aː r t
uitgebaat	œ y̯ t x ə b aː t
uitgedrukt	œ y̯ t x ə d r ʏ k t
uitgekookt	œ y̯ t x ə k oː k t
uitgeleverd	œ y̯ t x ə l eː v ə r t
uitgescheiden	œ y̯ t x ə s x ɛ i̯ d ə n
uitgesproken	œ y̯ t x ə s p r oː k ə n
uitgestoken	œ y̯ t x ə s t oː k ə n
uitgeven	œ y̯ t ɣ eː v ə n
uitgever	œ y̯ t x eː v ə r
uitgeverij	œ y̯ t x eː v ə r ɛ i̯
uitgezet	œ y̯ t x ə z ɛ t
uitgroeien	œ y̯ t ɣ r u i̯ ə n
uithangbord	œ y̯ t ɦ ɑ ŋ b ɔ r t
uithoek	œ y̯ t ɦ u k
uiting	œ y̯ t ɪ ŋ
uitkering	œ y̯ t k eː r ɪ ŋ
uitkijk	œ y̯ t k ɛ i̯ k
uitkomen	œ y̯ t k oː m ə n
uitkomst	œ y̯ t k ɔ m s t
uitleg	œ y̯ t l ɛ x
uitleggen	œ y̯ t l ɛ ɣ ə n
uitloper	œ y̯ t l oː p ə r
uitmaken	œ y̯ t m aː k ə n
uitnodiging	œ y̯ t n oː d ə ɣ ɪ ŋ
uitpakken	œ y̯ t p ɑ k ə n
uitrekenen	œ y̯ t r eː k ə n ə n
uitscheiden	œ y̯ t s x ɛ i̯ d ə n
uitslag	œ y̯ t s l ɑ x
uitspraak	œ y̯ t s p r aː k
uitstapje	œ y̯ t s t ɑ p j ə
uitstekende	œ y̯ t s t eː k ə n d ə
uitstel	œ y̯ t s t ɛ l
uitte	œ y̯ t ə
uitvechten	œ y̯ t f ɛ x t ə n
uitvergroot	œ y̯ t f ə r ɣ r oː t
uitverkocht	œ y̯ t f ə r k ɔ x t
uitverkoop	œ y̯ t f ə r k oː p
uitzichtloos	œ y̯ t z ɪ x t l oː s
uitzien	œ y̯ t s i n
uitzitten	œ y̯ t s ɪ t ə n
uitzondering	œ y̯ t s ɔ n d ə r ɪ ŋ
ultimatum	ʏ l t i m aː t ʏ m
unaniem	y n aː n i m
unie	y n i
uniform	y n i f ɔ r m
universeel	y n i v ɛ r z eː l
universitair	y n i v ɛ r z i t ɛː r
universiteit	y n i v ɛ r z i t ɛ i̯ t
universiteitsbibliotheek	y n i v ɛ r z i t ɛ i̯ t s b i b l i oː t eː k
universiteitsstad	y n i v ɛ r z i t ɛ i̯ t s t ɑ t
universum	y n i v ɛ r z ʏ m
update	ʏ p d eː t
updaten	ʏ p d eː t ə n
upgrade	ʏ p ɡ r ɛ i̯ t
upgraden	ʏ p ɡ r eː d ə n
upload	ʏ p l oː t
uploaden	ʏ p l oː d ə n
uranium	y r aː n i ʏ m
uren	y r ə n
urenlang	yː r ə n l ɑ ŋ
urine	y r i n ə
uur	y r
uva	y v aː
uw	y u̯
uwe	y u̯ ə
vaag	v aː x
vaak	v aː k
vaal	v aː l
vaardig	v aː r d ə x
vaart	v aː r t
vaarwel	v aː r ʋ ɛ l
vaas	v aː s
vaatwasser	v aː t ʋ ɑ s ə r
vacht	v ɑ x t
vader	v aː d ə r
vaderland	v aː d ə r l ɑ n t
vadermoord	v aː d ə r m oː r t
vagina	v aː ɣ i n aː
vak	v ɑ k
vakantie	v aː k ɑ n t s i
vakantieganger	v aː k ɑ n t s i ɣ ɑ ŋ ə r
vakantiehuis	v aː k ɑ n t s i ɦ œ y̯ s
vakbond	v ɑ k b ɔ n t
vakgebied	v ɑ k x ə b i t
vakkenvuller	v ɑ k ə n v ʏ l ə r
vakman	v ɑ k m ɑ n
vakmanschap	v ɑ k m ɑ n s x ɑ p
val	v ɑ l
valk	v ɑ l k
vallen	v ɑ l ə n
valt	v ɑ l t
valuta	v aː l y t aː
van	v ɑ n
vanavond	v ɑ n aː v ɔ n t
vandaag	v ɑ n d aː x
vandalisme	v ɑ n d aː l ɪ s m ə
vangen	v ɑ ŋ ə n
vangrail	v ɑ ŋ r eː l
vangst	v ɑ ŋ s t
vangt	v ɑ ŋ t
vannacht	v ɑ n ɑ x t
vanwaar	v ɑ n ʋ aː r
vanwege	v ɑ n ʋ eː ɣ ə
vanzelfsprekend	v ɑ n z ɛ l f s p r eː k ə n t
vara	v aː r aː
varen	v aː r ə n
variant	v aː r i ɑ n t
variatie	v aː r i aː t s i
varken	v ɑ r k ə n
varkensgriep	v ɑ r k ə n s x r i p
vast	v ɑ s t
vastleggen	v ɑ s t l ɛ ɣ ə n
vaststellen	v ɑ s s t ɛ l ə n
vat	v ɑ t
vatbaar	v ɑ t b aː r
vaticaan	v aː t i k aː n
vaticaans	v aː t i k aː n s
vatten	v ɑ t ə n
vazen	v aː z ə n
vecht	v ɛ x t
vechten	v ɛ x t ə n
vechtpartij	v ɛ x t p ɑ r t ɛ i̯
veder	v eː d ə r
vederlicht	v eː d ə r l ɪ x t
vee	v eː
veeg	v eː x
veegt	v eː x t
veel	v eː l
veelbelovend	v eː l b ə l oː v ə n t
veeleer	v eː l eː r
veelhoek	v eː l ɦ u k
veelvoud	v eː l v ɑ u̯ t
veendam	v eː n d ɑ m
veenendaal	v eː n ə n d aː l
veere	v eː r ə
veerman	v eː r m ɑ n
veertien	v eː r t i n
veertiende	v eː r t i n d ə
veestapel	v eː s t aː p ə l
vega	v eː ɣ aː
vegetarisch	v eː ɣ ə t aː r i s
vegetatie	v eː ɣ ə t aː t s i
veghel	v ɛ x ə l
