ᆯ지	ʎ t͡ɕ͈ i
제작하다	t͡ɕ e̞ː d͡ʑ a̠ kʰ a̠ d a̠
제조	t͡ɕ e̞ː d͡ʑ o̞
제조업	t͡ɕ e̞ː d͡ʑ o̞ ʌ̹ p̚
제주	t͡ɕ e̞ː d͡ʑ u
제주도	t͡ɕ e̞ː d͡ʑ u d o̞
제주말	t͡ɕ e̞ː d͡ʑ u m a̠ ɭ
제주시	t͡ɕ e̞ː d͡ʑ u ɕʰ i
제쳐놓다	t͡ɕ e̞ t͡ɕʰ ʌ̹ n o̞ tʰ a̠
제출	t͡ɕ e̞ t͡ɕʰ u ɭ
제출하다	t͡ɕ e̞ t͡ɕʰ u ɾ ɦ a̠ d a̠
제탄	t͡ɕ e̞ː tʰ a̠ n
제트기	t͡ɕ e̞ tʰ ɯ ɡ i
제품	t͡ɕ e̞ː pʰ u m
제한	t͡ɕ e̞ː ɦ a̠ n
젠장	t͡ɕ e̞ː ɲ d͡ʑ a̠ ŋ
젤리	t͡ɕ e̞ ʎ ʎ i
조가비	t͡ɕ o̞ ɡ a̠ b i
조각	t͡ɕ o̞ ɡ a̠ k̚
조각상	t͡ɕ o̞ ɡ a̠ k s͈ a̠ ŋ
조건	t͡ɕ o̞ k͈ ʌ̹ n
조계종	t͡ɕ o̞ ɡ j e̞ d͡ʑ o̞ ŋ
조국	t͡ɕ o̞ ɡ u k̚
조금	t͡ɕ o̞ ɡ ɯ m
조금씩	t͡ɕ o̞ ɡ ɯ m ɕ͈ i k̚
조깅	t͡ɕ o̞ ɡ i ŋ
조끼	t͡ɕ o̞ k͈ i
조랑말	t͡ɕ o̞ ɾ a̠ ŋ m a̠ ɭ
조롱	t͡ɕ o̞ ɾ o̞ ŋ
조롱이	t͡ɕ o̞ ɾ o̞ ŋ i
조류	t͡ɕ o̞ ɾ j u
조림	t͡ɕ o̞ ɾ i m
조미료	t͡ɕ o̞ m i ɾ j o
조반	t͡ɕ o̞ː b a̠ n
조부모	t͡ɕ o̞ b u m o̞
조뼛	t͡ɕ o̞ p͈ j ʌ̹ t̚
조사	t͡ɕ o̞ sʰ a̠
조사하다	t͡ɕ o̞ sʰ a̠ ɦ a̠ d a̠
조산부	t͡ɕ o̞ː sʰ a̠ n b u
조상	t͡ɕ o̞ sʰ a̠ ŋ
조선말	t͡ɕ o̞ sʰ ʌ̹ n m a̠ ɭ
조선민주주의인민공화국	t͡ɕ o̞ sʰ ʌ̹ n m i ɲ d͡ʑ u d͡ʑ u ɰ i i n m i n k o̞ ŋ β w a̠ ɡ u k̚
조선어	t͡ɕ o̞ sʰ ʌ̹ n ʌ̹
조선인	t͡ɕ o̞ sʰ ʌ̹ n i n
조성	t͡ɕ o̞ sʰ ʌ̹ ŋ
조세	t͡ɕ o̞ sʰ e̞
조수	t͡ɕ o̞ː sʰ u
조식	t͡ɕ o̞ ɕʰ i k̚
조심	t͡ɕ o̞ː ɕʰ i m
조어	t͡ɕ o̞ ʌ̹
조예	t͡ɕ o̞ j e̞
조용	t͡ɕ o̞ j o ŋ
조용하다	t͡ɕ o̞ j o ŋ ɦ a̠ d a̠
조용히	t͡ɕ o̞ j o ŋ ʝ i
조우	t͡ɕ o̞ u
조의	t͡ɕ o̞ ɰ i
조이다	t͡ɕ o̞ i d a̠
조작	t͡ɕ o̞ː d͡ʑ a̠ k̚
조절	t͡ɕ o̞ d͡ʑ ʌ̹ ɭ
조종사	t͡ɕ o̞ d͡ʑ o̞ ŋ sʰ a̠
조지아	t͡ɕ o̞ d͡ʑ i a̠
조지아어	t͡ɕ o̞ d͡ʑ i a̠ ʌ̹
조지타운	t͡ɕ o̞ d͡ʑ i tʰ a̠ u n
조직	t͡ɕ o̞ d͡ʑ i k̚
조짐	t͡ɕ o̞ d͡ʑ i m
조차	t͡ɕ o̞ t͡ɕʰ a̠
조치	t͡ɕ o̞ t͡ɕʰ i
조카	t͡ɕ o̞ kʰ a̠
조피볼락	t͡ɕ o̞ pʰ i b o̞ ɭ ɭ a̠ k̚
조합	t͡ɕ o̞ ɦ a̠ p̚
조현병	t͡ɕ o̞ ʝ j ʌ̹ n b j ʌ̹ ŋ
조회	t͡ɕ o̞ː β w e̞
존경	t͡ɕ o̞ n ɡ j ʌ̹ ŋ
존맛	t͡ɕ o̞ n m a̠ t̚
존엄사	t͡ɕ o̞ n ʌ̹ m sʰ a̠
존중	t͡ɕ o̞ ɲ d͡ʑ u ŋ
존중하다	t͡ɕ o̞ ɲ d͡ʑ u ŋ ɦ a̠ d a̠
졸다	t͡ɕ o̞ː ɭ d a̠
졸업식	t͡ɕ o̞ ɾ ʌ̹ p ɕ͈ i k̚
졸음	t͡ɕ o̞ ɾ ɯ m
졸혼	t͡ɕ o̞ ɾ β o̞ n
좀비	t͡ɕ o̞ m b i
좀수수치	t͡ɕ o̞ m sʰ u sʰ u t͡ɕʰ i
좀처럼	t͡ɕ o̞ː m t͡ɕʰ ʌ̹ ɾ ʌ̹ m
좁다	t͡ɕ o̞ p̚ t͈ a̠
종교	t͡ɕ o̞ ŋ ɡ j o
종로	t͡ɕ o̞ ŋ n o̞
종료	t͡ɕ o̞ ŋ ɲ j o
종류	t͡ɕ o̞ː ŋ ɲ j u
종식	t͡ɕ o̞ ŋ ɕʰ i k̚
종아리뼈	t͡ɕ o̞ː ŋ a̠ ɾ i p͈ j ʌ̹
종양	t͡ɕ o̞ː ŋ j a̠ ŋ
종업원	t͡ɕ o̞ ŋ ʌ̹ b w ʌ̹ n
종유석	t͡ɕ o̞ ŋ j u sʰ ʌ̹ k̚
종이	t͡ɕ o̞ ŋ i
종일	t͡ɕ o̞ ŋ i ɭ
종자	t͡ɕ o̞ ŋ d͡ʑ a̠
종족	t͡ɕ o̞ ŋ d͡ʑ o̞ k̚
종종	t͡ɕ o̞ː ŋ d͡ʑ o̞ ŋ
종파	t͡ɕ o̞ ŋ pʰ a̠
종합	t͡ɕ o̞ ŋ ɦ a̠ p̚
종횡	t͡ɕ o̞ ŋ β w e̞ ŋ
좇다	t͡ɕ o̞ t̚ t͈ a̠
좋다	t͡ɕ o̞ː tʰ a̠
좋아지다	t͡ɕ o̞ː a̠ d͡ʑ i d a̠
좋아하다	t͡ɕ o̞ː a̠ ɦ a̠ d a̠
좌석	t͡ɕ w a̠ sʰ ʌ̹ k̚
좌우	t͡ɕ w a̠ː u
좌익수	t͡ɕ w a̠ː i k s͈ u
좌표	t͡ɕ w a̠ː pʰ j o
죄다	t͡ɕ w e̞ː d a̠
죄송	t͡ɕ w e̞ː sʰ o̞ ŋ
죄송하다	t͡ɕ w e̞ː sʰ o̞ ŋ ɦ a̠ d a̠
죄수	t͡ɕ w e̞ sʰ u
죄악	t͡ɕ w e̞ː a̠ k̚
죄인	t͡ɕ w e̞ː i n
주거	t͡ɕ uː ɡ ʌ̹
주고받다	t͡ɕ u ɡ o̞ b a̠ t̚ t͈ a̠
주교	t͡ɕ u ɡ j o
주교관	t͡ɕ u ɡ j o ɡ w a̠ n
주꾸미	t͡ɕ u k͈ u m i
주다	t͡ɕ u d a̠
주도	t͡ɕ u d o̞
주둔	t͡ɕ uː d u n
주로	t͡ɕ u ɾ o̞
주류	t͡ɕ u ɾ j u
주막	t͡ɕ u m a̠ k̚
주말	t͡ɕ u m a̠ ɭ
주머니	t͡ɕ u m ʌ̹ n i
주먹	t͡ɕ u m ʌ̹ k̚
주무르다	t͡ɕ u m u ɾ ɯ d a̠
주무시다	t͡ɕ u m u ɕʰ i d a̠
주문	t͡ɕ uː m u n
주민	t͡ɕ uː m i n
주방	t͡ɕ u b a̠ ŋ
주방장	t͡ɕ u b a̠ ŋ d͡ʑ a̠ ŋ
주사	t͡ɕ uː sʰ a̠
주사기	t͡ɕ uː sʰ a̠ ɡ i
주석	t͡ɕ u sʰ ʌ̹ k̚
주소	t͡ɕ uː sʰ o̞
주스	t͡ɕ u sʰ ɯ
주식	t͡ɕ u ɕʰ i k̚
주식회사	t͡ɕ u ɕʰ i kʰ w e̞ sʰ a̠
주어	t͡ɕ u ʌ̹
주연	t͡ɕ u j ʌ̹ n
주요하다	t͡ɕ u j o ɦ a̠ d a̠
주위	t͡ɕ u ɥ i
주유소	t͡ɕ uː j u sʰ o̞
주인	t͡ɕ u i n
주인공	t͡ɕ u i n ɡ o̞ ŋ
주장	t͡ɕ u d͡ʑ a̠ ŋ
주장하다	t͡ɕ u d͡ʑ a̠ ŋ ɦ a̠ d a̠
주저	t͡ɕ u d͡ʑ ʌ̹
주전자	t͡ɕ u d͡ʑ ʌ̹ ɲ d͡ʑ a̠
주정	t͡ɕ uː d͡ʑ ʌ̹ ŋ
주제	t͡ɕ u d͡ʑ e̞
주중	t͡ɕ u d͡ʑ u ŋ
주차	t͡ɕ uː t͡ɕʰ a̠
주차장	t͡ɕ uː t͡ɕʰ a̠ d͡ʑ a̠ ŋ
주체	t͡ɕ u t͡ɕʰ e̞
주체사상	t͡ɕ u t͡ɕʰ e̞ sʰ a̠ sʰ a̠ ŋ
죽마고우	t͡ɕ u ŋ m a̠ ɡ o̞ u
죽부인	t͡ɕ u k̚ p͈ u i n
죽순	t͡ɕ u k s͈ u n
죽음	t͡ɕ u ɡ ɯ m
죽지	t͡ɕ u k̚ t͡ɕ͈ i
준말	t͡ɕ uː n m a̠ ɭ
준비	t͡ɕ uː n b i
준비하다	t͡ɕ uː n b i ɦ a̠ d a̠
줄곧	t͡ɕ u ɭ ɡ o̞ t̚
줄공치	t͡ɕ u ɭ ɡ o̞ ŋ t͡ɕʰ i
줄기	t͡ɕ u ɭ ɡ i
줄다	t͡ɕ uː ɭ d a̠
줄어들다	t͡ɕ u ɾ ʌ̹ d ɯ ɭ d a̠
줄이다	t͡ɕ u ɾ i d a̠
줍다	t͡ɕ uː p̚ t͈ a̠
중간	t͡ɕ u ŋ ɡ a̠ n
중견수	t͡ɕ u ŋ ɡ j ʌ̹ n sʰ u
중경	t͡ɕ u ŋ ɡ j ʌ̹ ŋ
중계	t͡ɕ u ŋ ɡ j e̞
중고기	t͡ɕ uː ŋ ɡ o̞ ɡ i
중공	t͡ɕ u ŋ ɡ o̞ ŋ
중국어	t͡ɕ u ŋ ɡ u ɡ ʌ̹
중국인	t͡ɕ u ŋ ɡ u ɡ i n
중국학	t͡ɕ u ŋ ɡ u kʰ a̠ k̚
중국화	t͡ɕ u ŋ ɡ u kʰ w a̠
중년	t͡ɕ u ŋ ɲ j ʌ̹ n
중도	t͡ɕ u ŋ d o̞
중독	t͡ɕ u ŋ d o̞ k̚
중량	t͡ɕ uː ŋ ɲ j a̠ ŋ
중립	t͡ɕ u ŋ n i p̚
중문	t͡ɕ u ŋ m u n
중부	t͡ɕ u ŋ b u
중사	t͡ɕ u ŋ sʰ a̠
중성	t͡ɕ u ŋ sʰ ʌ̹ ŋ
중성자	t͡ɕ u ŋ sʰ ʌ̹ ŋ d͡ʑ a̠
중세	t͡ɕ u ŋ sʰ e̞
중심	t͡ɕ u ŋ ɕʰ i m
중앙	t͡ɕ u ŋ a̠ ŋ
중앙아메리카	t͡ɕ u ŋ a̠ ŋ a̠ m e̞ ɾ i kʰ a̠
중요	t͡ɕ uː ŋ j o
중요성	t͡ɕ uː ŋ j o s͈ ʌ̹ ŋ
중요하다	t͡ɕ uː ŋ j o ɦ a̠ d a̠
중위	t͡ɕ u ŋ ɥ i
중죄	t͡ɕ uː ŋ d͡ʑ w e̞
중증	t͡ɕ uː ŋ t͡ɕ͈ ɯ ŋ
중지	t͡ɕ u ŋ d͡ʑ i
중징계	t͡ɕ uː ŋ d͡ʑ i ŋ ɡ j e̞
중학교	t͡ɕ u ŋ ɦ a̠ k̚ k͈ j o
중화	t͡ɕ u ŋ β w a̠
중화민국	t͡ɕ u ŋ β w a̠ m i n ɡ u k̚
쥐창시	t͡ɕ ɥ i t͡ɕʰ a̠ ŋ ɕʰ i
즉시	t͡ɕ ɯ k ɕ͈ i
즐거움	t͡ɕ ɯ ɭ ɡ ʌ̹ u m
즐겁다	t͡ɕ ɯ ɭ ɡ ʌ̹ p̚ t͈ a̠
증가	t͡ɕ ɯ ŋ ɡ a̠
증가하다	t͡ɕ ɯ ŋ ɡ a̠ ɦ a̠ d a̠
증거	t͡ɕ ɯ ŋ ɡ ʌ̹
증권사	t͡ɕ ɯ ŋ k͈ w ʌ̹ n sʰ a̠
증기	t͡ɕ ɯ ŋ ɡ i
증명	t͡ɕ ɯ ŋ m j ʌ̹ ŋ
증명하다	t͡ɕ ɯ ŋ m j ʌ̹ ŋ ɦ a̠ d a̠
증상	t͡ɕ ɯ ŋ sʰ a̠ ŋ
증설	t͡ɕ ɯ ŋ sʰ ʌ̹ ɭ
증설하다	t͡ɕ ɯ ŋ sʰ ʌ̹ ɾ ɦ a̠ d a̠
증언	t͡ɕ ɯ ŋ ʌ̹ n
증여	t͡ɕ ɯ ŋ j ʌ̹
증오	t͡ɕ ɯ ŋ o̞
증오심	t͡ɕ ɯ ŋ o̞ ɕʰ i m
증인	t͡ɕ ɯ ŋ i n
증조	t͡ɕ ɯ ŋ d͡ʑ o̞
증조부	t͡ɕ ɯ ŋ d͡ʑ o̞ b u
증진하다	t͡ɕ ɯ ŋ d͡ʑ i n ɦ a̠ d a̠
증후군	t͡ɕ ɯ ŋ β u ɡ u n
지각	t͡ɕ i ɡ a̠ k̚
지갑	t͡ɕ i ɡ a̠ p̚
지게미	t͡ɕ i ɡ e̞ m i
지겹다	t͡ɕ i ɡ j ʌ̹ p̚ t͈ a̠
지경	t͡ɕ i ɡ j ʌ̹ ŋ
지구	t͡ɕ i ɡ u
지구의	t͡ɕ i ɡ u ɰ i
지국	t͡ɕ i ɡ u k̚
지금	t͡ɕ i ɡ ɯ m
지긋하다	t͡ɕ i ɡ ɯ tʰ a̠ d a̠
지껄이다	t͡ɕ i k͈ ʌ̹ ɾ i d a̠
지나	t͡ɕ i n a̠
지나다	t͡ɕ i n a̠ d a̠
지나치다	t͡ɕ i n a̠ t͡ɕʰ i d a̠
지난	t͡ɕ i n a̠ n
지난번	t͡ɕ i n a̠ n b ʌ̹ n
지난주	t͡ɕ i n a̠ ɲ d͡ʑ u
지니다	t͡ɕ i n i d a̠
지다	t͡ɕ i d a̠
지도자	t͡ɕ i d o̞ d͡ʑ a̠
지랄하다	t͡ɕ i ɾ a̠ ɾ ɦ a̠ d a̠
지렁이	t͡ɕ i ɾ ʌ̹ ŋ i
지뢰	t͡ɕ i ɾ w e̞
지루하다	t͡ɕ i ɾ u ɦ a̠ d a̠
지류	t͡ɕ i ɾ j u
지르코늄	t͡ɕ i ɾ ɯ kʰ o̞ ɲ j u m
지름	t͡ɕ i ɾ ɯ m
지름길	t͡ɕ i ɾ ɯ m ɡ i ɭ
지리산	t͡ɕ i ɾ i sʰ a̠ n
지리학	t͡ɕ i ɾ i ɦ a̠ k̚
지린	t͡ɕ i ɾ i n
지만	t͡ɕ i m a̠ n
지면	t͡ɕ i m j ʌ̹ n
지방	t͡ɕ i b a̠ ŋ
지방산	t͡ɕ i b a̠ ŋ sʰ a̠ n
지복직관	t͡ɕ iː b o̞ k̚ t͡ɕ͈ i k̚ k͈ w a̠ n
지불	t͡ɕ i b u ɭ
지붕	t͡ɕ i b u ŋ
지속적	t͡ɕ i sʰ o̞ k̚ t͡ɕ͈ ʌ̹ k̚
지시하다	t͡ɕ i ɕʰ i ɦ a̠ d a̠
지식	t͡ɕ i ɕʰ i k̚
지식인	t͡ɕ i ɕʰ i ɡ i n
지압	t͡ɕ i a̠ p̚
지역	t͡ɕ i j ʌ̹ k̚
지역사회	t͡ɕ i j ʌ̹ k s͈ a̠ β w e̞
지옥	t͡ɕ i o̞ k̚
지우다	t͡ɕ i u d a̠
지원	t͡ɕ i w ʌ̹ n
지원자	t͡ɕ i w ʌ̹ ɲ d͡ʑ a̠
지위	t͡ɕ i ɥ i
지은이	t͡ɕ i ɯ n i
지저분하다	t͡ɕ i d͡ʑ ʌ̹ b u n ɦ a̠ d a̠
지적하다	t͡ɕ i d͡ʑ ʌ̹ kʰ a̠ d a̠
지점	t͡ɕ i d͡ʑ ʌ̹ m
지정학	t͡ɕ i d͡ʑ ʌ̹ ŋ ɦ a̠ k̚
지줌	t͡ɕ i d͡ʑ u m
지지	t͡ɕ i d͡ʑ i
지진	t͡ɕ i d͡ʑ i n
지질	t͡ɕ i d͡ʑ i ɭ
지출	t͡ɕ i t͡ɕʰ u ɭ
지치다	t͡ɕ iː t͡ɕʰ i d a̠
지칭하다	t͡ɕ i t͡ɕʰ i ŋ ɦ a̠ d a̠
지팡이	t͡ɕ i pʰ a̠ ŋ i
지폐	t͡ɕ i pʰ j e̞
지푸라기	t͡ɕ i pʰ u ɾ a̠ ɡ i
지하	t͡ɕ i ɦ a̠
지하도	t͡ɕ i ɦ a̠ d o̞
지하드	t͡ɕ i ɦ a̠ d ɯ
지하실	t͡ɕ i ɦ a̠ ɕʰ i ɭ
지하철	t͡ɕ i ɦ a̠ t͡ɕʰ ʌ̹ ɭ
지하철역	t͡ɕ i ɦ a̠ t͡ɕʰ ʌ̹ ɾ j ʌ̹ k̚
지혈	t͡ɕ i ʝ j ʌ̹ ɭ
지협	t͡ɕ i ʝ j ʌ̹ p̚
지혜	t͡ɕ i ʝ j e̞
지휘자	t͡ɕ i ɦ ɥ i d͡ʑ a̠
직감	t͡ɕ i k̚ k͈ a̠ m
직관	t͡ɕ i k̚ k͈ w a̠ n
직기	t͡ɕ i k̚ k͈ i
직원	t͡ɕ i ɡ w ʌ̹ n
직위	t͡ɕ i ɡ ɥ i
직전	t͡ɕ i k̚ t͡ɕ͈ ʌ̹ n
직접	t͡ɕ i k̚ t͡ɕ͈ ʌ̹ p̚
직접적	t͡ɕ i k̚ t͡ɕ͈ ʌ̹ p̚ t͡ɕ͈ ʌ̹ k̚
직후	t͡ɕ i kʰ u
진공청소기	t͡ɕ i n ɡ o̞ ŋ t͡ɕʰ ʌ̹ ŋ sʰ o̞ ɡ i
진단	t͡ɕ iː n d a̠ n
진동	t͡ɕ i n d o̞ ŋ
진동수	t͡ɕ i n d o̞ ŋ sʰ u
진료소	t͡ɕ iː ʎ ʎ j o sʰ o̞
진루	t͡ɕ iː ɭ ɭ u
진리	t͡ɕ i ʎ ʎ i
진보	t͡ɕ iː n b o̞
진부하다	t͡ɕ i n b u ɦ a̠ d a̠
진실	t͡ɕ i n ɕʰ i ɭ
진실하다	t͡ɕ i n ɕʰ i ɾ ɦ a̠ d a̠
진압	t͡ɕ iː n a̠ p̚
진열장	t͡ɕ iː ɲ j ʌ̹ ʎ d͡ʑ a̠ ŋ
진주	t͡ɕ i ɲ d͡ʑ u
진지	t͡ɕ iː ɲ d͡ʑ i
진지하다	t͡ɕ i ɲ d͡ʑ i ɦ a̠ d a̠
진짜	t͡ɕ i ɲ t͡ɕ͈ a̠
진출	t͡ɕ iː ɲ t͡ɕʰ u ɭ
진한	t͡ɕ i n ɦ a̠ n
진화	t͡ɕ i n β w a̠
진흙	t͡ɕ i n ɣ ɯ k̚
질녀	t͡ɕ i ʎ ʎ j ʌ̹
질량	t͡ɕ i ʎ ʎ j a̠ ŋ
질리다	t͡ɕ i ʎ ʎ i d a̠
질문	t͡ɕ i ɭ m u n
질문하다	t͡ɕ i ɭ m u n ɦ a̠ d a̠
질병	t͡ɕ i ɭ b j ʌ̹ ŋ
질서	t͡ɕ i ɭ s͈ ʌ̹
질소	t͡ɕ i ɭ sʰ o̞
질타	t͡ɕ i ɭ tʰ a̠
질투	t͡ɕ i ɭ tʰ u
질풍노도	t͡ɕ i ɭ pʰ u ŋ n o̞ d o̞
짊다	t͡ɕ i m t͈ a̠
짐바브웨	t͡ɕ i m b a̠ b ɯ w e̞
짐승	t͡ɕ i m sʰ ɯ ŋ
짐작	t͡ɕ i m d͡ʑ a̠ k̚
집게	t͡ɕ i p̚ k͈ e̞
집결	t͡ɕ i p̚ k͈ j ʌ̹ ɭ
집계	t͡ɕ i p̚ k͈ j e̞
집권당	t͡ɕ i p̚ k͈ w ʌ̹ n d a̠ ŋ
집다	t͡ɕ i p̚ t͈ a̠
집단화	t͡ɕ i p̚ t͈ a̠ n β w a̠
집들	t͡ɕ i p̚ t͈ ɯ ɭ
집박쥐	t͡ɕ i p̚ p͈ a̠ k̚ t͡ɕ͈ ɥ i
집사	t͡ɕ i p s͈ a̠
집사람	t͡ɕ i p s͈ a̠ ɾ a̠ m
집안	t͡ɕ i b a̠ n
집어넣다	t͡ɕ i b ʌ̹ n ʌ̹ tʰ a̠
집중	t͡ɕ i p̚ t͡ɕ͈ u ŋ
집중되다	t͡ɕ i p̚ t͡ɕ͈ u ŋ d w e̞ d a̠
집쥐	t͡ɕ i p̚ t͡ɕ͈ ɥ i
집토끼	t͡ɕ i p̚ tʰ o̞ k͈ i
집필	t͡ɕ i p̚ pʰ i ɭ
집합	t͡ɕ i pʰ a̠ p̚
집회	t͡ɕ i pʰ w e̞
짓다	t͡ɕ iː t̚ t͈ a̠
징계	t͡ɕ i ŋ ɡ j e̞
징병	t͡ɕ i ŋ b j ʌ̹ ŋ
짙다	t͡ɕ i t̚ t͈ a̠
짙푸르다	t͡ɕ i t̚ pʰ u ɾ ɯ d a̠
짚다	t͡ɕ i p̚ t͈ a̠
짜다	t͡ɕ͈ a̠ d a̠
짜리	t͡ɕ͈ a̠ ɾ i
짜릿하다	t͡ɕ͈ a̠ ɾ i tʰ a̠ d a̠
짜장면	t͡ɕ͈ a̠ d͡ʑ a̠ ŋ m j ʌ̹ n
짜하다	t͡ɕ͈ a̠ː ɦ a̠ d a̠
짝사랑	t͡ɕ͈ a̠ k s͈ a̠ ɾ a̠ ŋ
짝짓기	t͡ɕ͈ a̠ k̚ t͡ɕ͈ i t̚ k͈ i
짠하다	t͡ɕ͈ a̠ː n ɦ a̠ d a̠
짧다	t͡ɕ͈ a̠ ɭ t͈ a̠
짬뽕	t͡ɕ͈ a̠ m p͈ o̞ ŋ
짭짤하다	t͡ɕ͈ a̠ p̚ t͡ɕ͈ a̠ ɾ ɦ a̠ d a̠
쩨마	t͡ɕ͈ e̞ m a̠
쪼다	t͡ɕ͈ o̞ d a̠
쪽발이	t͡ɕ͈ o̞ k̚ p͈ a̠ ɾ i
쫄면	t͡ɕ͈ o̞ ɭ m j ʌ̹ n
쫓기다	t͡ɕ͈ o̞ t̚ k͈ i d a̠
쫓다	t͡ɕ͈ o̞ t̚ t͈ a̠
쯔놈	t͡ɕ͈ ɯ n o̞ m
찌꺼기	t͡ɕ͈ i k͈ ʌ̹ ɡ i
찌르다	t͡ɕ͈ i ɾ ɯ d a̠
찌창	t͡ɕ͈ i t͡ɕʰ a̠ ŋ
찍소리	t͡ɕ͈ i k s͈ o̞ ɾ i
찐만두	t͡ɕ͈ i n m a̠ n d u
찐빵	t͡ɕ͈ i n p͈ a̠ ŋ
찜질방	t͡ɕ͈ i m d͡ʑ i ɭ b a̠ ŋ
차갑다	t͡ɕʰ a̠ ɡ a̠ p̚ t͈ a̠
차고	t͡ɕʰ a̠ ɡ o̞
차단	t͡ɕʰ a̠ː d a̠ n
차드	t͡ɕʰ a̠ d ɯ
차라리	t͡ɕʰ a̠ ɾ a̠ ɾ i
차량	t͡ɕʰ a̠ ɾ j a̠ ŋ
차례	t͡ɕʰ a̠ ɾ j e̞
차림	t͡ɕʰ a̠ ɾ i m
차림표	t͡ɕʰ a̠ ɾ i m pʰ j o
차마	t͡ɕʰ a̠ m a̠
차마당	t͡ɕʰ a̠ m a̠ d a̠ ŋ
차별	t͡ɕʰ a̠ b j ʌ̹ ɭ
차이	t͡ɕʰ a̠ i
차이나타운	t͡ɕʰ a̠ i n a̠ tʰ a̠ u n
차이니스	t͡ɕʰ a̠ i n i sʰ ɯ
차이다	t͡ɕʰ a̠ i d a̠
차장	t͡ɕʰ a̠ d͡ʑ a̠ ŋ
차지하다	t͡ɕʰ a̠ d͡ʑ i ɦ a̠ d a̠
차질	t͡ɕʰ a̠ d͡ʑ i ɭ
차츰	t͡ɕʰ a̠ t͡ɕʰ ɯ m
차트	t͡ɕʰ a̠ tʰ ɯ
착각	t͡ɕʰ a̠ k̚ k͈ a̠ k̚
착공	t͡ɕʰ a̠ k̚ k͈ o̞ ŋ
착석	t͡ɕʰ a̠ k s͈ ʌ̹ k̚
착용하다	t͡ɕʰ a̠ ɡ j o ŋ ɦ a̠ d a̠
착하다	t͡ɕʰ a̠ kʰ a̠ d a̠
찬가	t͡ɕʰ a̠ː n ɡ a̠
찬사	t͡ɕʰ a̠ː n sʰ a̠
찬스	t͡ɕʰ a̠ n sʰ ɯ
찬장	t͡ɕʰ a̠ː ɲ d͡ʑ a̠ ŋ
찰나	t͡ɕʰ a̠ ɭ ɭ a̠
찰스	t͡ɕʰ a̠ ɭ sʰ ɯ
찰흙	t͡ɕʰ a̠ ɾ ɣ ɯ k̚
참가자	t͡ɕʰ a̠ m ɡ a̠ d͡ʑ a̠
참고	t͡ɕʰ a̠ m ɡ o̞
참기름	t͡ɕʰ a̠ m ɡ i ɾ ɯ m
참다	t͡ɕʰ a̠ː m t͈ a̠
참되다	t͡ɕʰ a̠ m t͈ w e̞ d a̠
참말	t͡ɕʰ a̠ m m a̠ ɭ
참모장	t͡ɕʰ a̠ː m m o̞ d͡ʑ a̠ ŋ
참붕어	t͡ɕʰ a̠ m b u ŋ ʌ̹
참사	t͡ɕʰ a̠ m sʰ a̠
참석하다	t͡ɕʰ a̠ m sʰ ʌ̹ kʰ a̠ d a̠
참수리	t͡ɕʰ a̠ m sʰ u ɾ i
참여	t͡ɕʰ a̠ m j ʌ̹
참외	t͡ɕʰ a̠ m w e̞
참을성	t͡ɕʰ a̠ m ɯ ɭ sʰ ʌ̹ ŋ
참전	t͡ɕʰ a̠ m d͡ʑ ʌ̹ n
참조하다	t͡ɕʰ a̠ m d͡ʑ o̞ ɦ a̠ d a̠
참중고기	t͡ɕʰ a̠ m d͡ʑ u ŋ ɡ o̞ ɡ i
참회	t͡ɕʰ a̠ m β w e̞
찻집	t͡ɕʰ a̠ t̚ t͡ɕ͈ i p̚
창궐	t͡ɕʰ a̠ ŋ ɡ w ʌ̹ ɭ
창문	t͡ɕʰ a̠ ŋ m u n
창설	t͡ɕʰ a̠ː ŋ sʰ ʌ̹ ɭ
창세기	t͡ɕʰ a̠ː ŋ sʰ e̞ ɡ i
창업	t͡ɕʰ a̠ː ŋ ʌ̹ p̚
창원	t͡ɕʰ a̠ ŋ w ʌ̹ n
창자	t͡ɕʰ a̠ ŋ d͡ʑ a̠
창작	t͡ɕʰ a̠ ŋ d͡ʑ a̠ k̚
창제	t͡ɕʰ a̠ː ŋ d͡ʑ e̞
창조	t͡ɕʰ a̠ː ŋ d͡ʑ o̞
창조자	t͡ɕʰ a̠ː ŋ d͡ʑ o̞ d͡ʑ a̠
창조적	t͡ɕʰ a̠ː ŋ d͡ʑ o̞ d͡ʑ ʌ̹ k̚
창조하다	t͡ɕʰ a̠ː ŋ d͡ʑ o̞ ɦ a̠ d a̠
창턱	t͡ɕʰ a̠ ŋ tʰ ʌ̹ k̚
찾다	t͡ɕʰ a̠ t̚ t͈ a̠
찾아가다	t͡ɕʰ a̠ d͡ʑ a̠ ɡ a̠ d a̠
찾아보다	t͡ɕʰ a̠ d͡ʑ a̠ b o̞ d a̠
찾아오다	t͡ɕʰ a̠ d͡ʑ a̠ o̞ d a̠
채소	t͡ɕʰ ɛː sʰ o̞
채소밭	t͡ɕʰ ɛː sʰ o̞ b a̠ t̚
채식주의	t͡ɕʰ ɛː ɕʰ i k̚ t͡ɕ͈ u ɰ i
채식주의자	t͡ɕʰ ɛː ɕʰ i k̚ t͡ɕ͈ u ɰ i d͡ʑ a̠
채용하다	t͡ɕʰ ɛː j o ŋ ɦ a̠ d a̠
